name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.00931,0.00010,0.00063,0.00202,0.00157,0.00035,0.00450,42,2022/04/02
BBC,0.01421,0.00009,0.00089,0.00308,0.00789,0.00094,0.00040,52,2022/04/02
Fox News,0.01803,0.00011,0.00079,0.00390,0.00847,0.00104,0.00056,163,2022/04/02
NBC News,0.03954,0.00013,0.00158,0.00951,0.00423,0.00308,0.01176,56,2022/04/02
New York Post,0.12345,0.00060,0.02437,0.02086,0.02000,0.02026,0.00989,32,2022/04/02
Newsmax,0.00261,0.00005,0.00038,0.00044,0.00067,0.00033,0.00010,37,2022/04/02
Newsweek,0.03209,0.00029,0.01034,0.00270,0.00589,0.00026,0.00200,91,2022/04/02
One America News Network (OAN),0.00313,0.00035,0.00139,0.00059,0.00237,0.00059,0.00033,25,2022/04/02
Reuters,0.00327,0.00005,0.00035,0.00091,0.00058,0.00015,0.00008,48,2022/04/02
The Epoch Times,0.00597,0.00028,0.00201,0.00227,0.00253,0.00024,0.00108,98,2022/04/02
The Guardian (US),0.04054,0.00009,0.00057,0.00887,0.01809,0.00100,0.00055,99,2022/04/02
The Hill,0.00675,0.00005,0.00032,0.00024,0.00227,0.00094,0.00006,50,2022/04/02
The New York Times,0.01668,0.00010,0.00064,0.00306,0.00203,0.00344,0.00015,57,2022/04/02
The Wall Street Journal,0.00110,0.00007,0.00051,0.00028,0.00064,0.00009,0.00005,70,2022/04/02
The Washington Post,0.03840,0.00024,0.00105,0.00694,0.00219,0.00076,0.02110,24,2022/04/02
The Washington Times,0.00218,0.00004,0.00029,0.00041,0.00052,0.00015,0.00010,29,2022/04/02
Washington Examiner,0.04883,0.00077,0.01642,0.00422,0.00892,0.00112,0.02192,65,2022/04/02
