name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.03540,0.00006,0.00058,0.00372,0.00593,0.00144,0.01116,41,2022/04/13
BBC,0.05978,0.00016,0.00145,0.01307,0.02305,0.00143,0.01121,48,2022/04/13
Fox News,0.01869,0.00007,0.00071,0.00087,0.01280,0.00062,0.00015,170,2022/04/13
NBC News,0.02158,0.00011,0.00043,0.01448,0.00334,0.00036,0.00041,64,2022/04/13
New York Post,0.06064,0.00011,0.00163,0.00040,0.03094,0.00396,0.01310,32,2022/04/13
Newsmax,0.03724,0.00013,0.00068,0.01807,0.01576,0.00106,0.00090,37,2022/04/13
Newsweek,0.05088,0.00028,0.01029,0.00413,0.01869,0.01119,0.00073,99,2022/04/13
One America News Network (OAN),0.00397,0.00005,0.00024,0.00024,0.00033,0.00237,0.00006,22,2022/04/13
Reuters,0.00978,0.00004,0.00032,0.00503,0.00124,0.00015,0.00008,51,2022/04/13
The Epoch Times,0.01175,0.00021,0.00122,0.00649,0.00193,0.00057,0.00040,105,2022/04/13
The Guardian (US),0.04209,0.00023,0.00698,0.01645,0.00514,0.00163,0.00773,90,2022/04/13
The Hill,0.01014,0.00004,0.00024,0.00066,0.00431,0.00074,0.00006,45,2022/04/13
The New York Times,0.02855,0.00005,0.00052,0.00102,0.01785,0.00343,0.00008,59,2022/04/13
The Wall Street Journal,0.00173,0.00011,0.00084,0.00036,0.00111,0.00014,0.00006,65,2022/04/13
The Washington Post,0.00990,0.00011,0.00052,0.00287,0.00307,0.00050,0.00063,111,2022/04/13
The Washington Times,0.01942,0.00005,0.00034,0.00115,0.00150,0.00746,0.00009,30,2022/04/13
Washington Examiner,0.02277,0.00008,0.00129,0.00063,0.01094,0.00031,0.00048,67,2022/04/13
