name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.01670,0.00009,0.00087,0.00049,0.00177,0.00025,0.01077,42,2022/04/05
BBC,0.02480,0.00015,0.00120,0.00213,0.00160,0.01180,0.00050,50,2022/04/05
Fox News,0.01890,0.00007,0.00049,0.00057,0.00986,0.00226,0.00019,167,2022/04/05
NBC News,0.01819,0.00008,0.00044,0.00434,0.00145,0.00392,0.00026,57,2022/04/05
New York Post,0.09669,0.00015,0.00960,0.00707,0.04777,0.00214,0.00889,32,2022/04/05
Newsmax,0.02613,0.00013,0.00067,0.00882,0.01695,0.00027,0.00030,37,2022/04/05
Newsweek,0.04031,0.00030,0.00996,0.00590,0.01124,0.00050,0.00290,97,2022/04/05
One America News Network (OAN),0.00507,0.00035,0.00153,0.00056,0.00398,0.00049,0.00034,25,2022/04/05
Reuters,0.00280,0.00005,0.00030,0.00047,0.00057,0.00036,0.00010,44,2022/04/05
The Epoch Times,0.01616,0.00016,0.00123,0.00070,0.01015,0.00126,0.00018,103,2022/04/05
The Guardian (US),0.01583,0.00014,0.00098,0.00136,0.00368,0.00659,0.00065,98,2022/04/05
The Hill,0.02765,0.00007,0.00064,0.00862,0.00963,0.00170,0.00065,46,2022/04/05
The New York Times,0.01668,0.00010,0.00059,0.00174,0.00294,0.00327,0.00015,59,2022/04/05
The Wall Street Journal,0.00531,0.00009,0.00065,0.00157,0.00087,0.00035,0.00006,67,2022/04/05
The Washington Post,0.07352,0.00012,0.00081,0.00166,0.01274,0.01406,0.02387,23,2022/04/05
The Washington Times,0.00627,0.00004,0.00020,0.00050,0.00150,0.00112,0.00007,29,2022/04/05
Washington Examiner,0.02418,0.00005,0.00036,0.00420,0.00439,0.00055,0.00674,66,2022/04/05
