name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.04056,0.00016,0.00089,0.00125,0.00285,0.00193,0.02409,45,2022/12/27
BBC,0.01475,0.00007,0.00050,0.00236,0.00562,0.00106,0.00051,48,2022/12/27
Fox News,0.02436,0.00008,0.00051,0.00163,0.01369,0.00251,0.00028,158,2022/12/27
NBC News,0.05769,0.00017,0.00095,0.01991,0.00451,0.00513,0.01669,70,2022/12/27
New York Post,0.05156,0.00017,0.01639,0.00042,0.01740,0.00082,0.01333,43,2022/12/27
Newsmax,0.02282,0.00018,0.00123,0.00175,0.00294,0.00465,0.00322,51,2022/12/27
Newsweek,0.04973,0.00012,0.00083,0.00547,0.03019,0.00386,0.00389,99,2022/12/27
One America News Network (OAN),0.00387,0.00013,0.00113,0.00185,0.00176,0.00019,0.00009,28,2022/12/27
Reuters,0.00445,0.00014,0.00101,0.00064,0.00118,0.00031,0.00008,37,2022/12/27
The Epoch Times,0.00938,0.00016,0.00102,0.00525,0.00160,0.00026,0.00017,100,2022/12/27
The Guardian (US),0.02956,0.00007,0.00072,0.00462,0.01400,0.00078,0.00473,95,2022/12/27
The Hill,0.01580,0.00004,0.00027,0.00045,0.01080,0.00012,0.00005,39,2022/12/27
The New York Times,0.00408,0.00004,0.00037,0.00032,0.00111,0.00019,0.00006,58,2022/12/27
The Wall Street Journal,0.00121,0.00009,0.00076,0.00028,0.00094,0.00009,0.00005,67,2022/12/27
The Washington Post,0.01811,0.00009,0.00063,0.00797,0.00490,0.00053,0.00089,97,2022/12/27
The Washington Times,0.01168,0.00006,0.00064,0.00050,0.00172,0.00060,0.00416,30,2022/12/27
Washington Examiner,0.02252,0.00010,0.00051,0.00574,0.00804,0.00485,0.00015,62,2022/12/27
