name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.02303,0.00024,0.00078,0.02055,0.00237,0.00083,0.00060,45,2022/12/11
BBC,0.02797,0.00005,0.00062,0.00236,0.01996,0.00019,0.00016,43,2022/12/11
Fox News,0.01959,0.00012,0.00068,0.00124,0.00540,0.00485,0.00029,159,2022/12/11
NBC News,0.06727,0.00032,0.00224,0.05265,0.01382,0.00078,0.00552,60,2022/12/11
New York Post,0.04708,0.00011,0.00328,0.00830,0.00575,0.00180,0.00526,39,2022/12/11
Newsmax,0.01796,0.00010,0.00051,0.00191,0.00161,0.00582,0.00012,50,2022/12/11
Newsweek,0.03335,0.00011,0.00119,0.00084,0.01724,0.00116,0.00122,102,2022/12/11
One America News Network (OAN),0.00256,0.00014,0.00106,0.00041,0.00121,0.00017,0.00009,36,2022/12/11
Reuters,0.02436,0.00022,0.01340,0.00132,0.00238,0.00123,0.00037,32,2022/12/11
The Epoch Times,0.00699,0.00020,0.00159,0.00204,0.00238,0.00025,0.00030,110,2022/12/11
The Guardian (US),0.04566,0.00034,0.01071,0.00809,0.01676,0.00181,0.00700,95,2022/12/11
The Hill,0.00568,0.00004,0.00024,0.00057,0.00183,0.00031,0.00011,41,2022/12/11
The New York Times,0.00582,0.00006,0.00037,0.00075,0.00173,0.00024,0.00007,69,2022/12/11
The Wall Street Journal,0.00166,0.00004,0.00031,0.00023,0.00054,0.00012,0.00011,67,2022/12/11
The Washington Post,0.01352,0.00006,0.00069,0.00054,0.00764,0.00054,0.00014,97,2022/12/11
The Washington Times,0.00451,0.00003,0.00023,0.00060,0.00090,0.00009,0.00007,40,2022/12/11
Washington Examiner,0.04242,0.00061,0.01517,0.00677,0.01438,0.00167,0.00071,66,2022/12/11
