name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.03149,0.00013,0.00092,0.01503,0.01518,0.00032,0.00016,50,2022/08/11
BBC,0.00638,0.00007,0.00054,0.00055,0.00267,0.00033,0.00018,44,2022/08/11
Fox News,0.01567,0.00008,0.00266,0.00090,0.00562,0.00261,0.00023,160,2022/08/11
NBC News,0.03028,0.00018,0.00558,0.00606,0.00320,0.00351,0.00121,59,2022/08/11
New York Post,0.02790,0.00013,0.00120,0.00153,0.00716,0.00183,0.00352,40,2022/08/11
Newsmax,0.02001,0.00007,0.00042,0.00743,0.00349,0.00081,0.00012,50,2022/08/11
Newsweek,0.02703,0.00014,0.00115,0.00266,0.01365,0.00058,0.00172,110,2022/08/11
One America News Network (OAN),0.00263,0.00026,0.00182,0.00047,0.00181,0.00059,0.00010,28,2022/08/11
Reuters,0.02364,0.00007,0.00091,0.01406,0.00164,0.00045,0.00100,39,2022/08/11
The Epoch Times,0.00320,0.00026,0.00176,0.00120,0.00212,0.00028,0.00013,104,2022/08/11
The Guardian (US),0.04514,0.00028,0.00221,0.01316,0.00742,0.00069,0.01815,89,2022/08/11
The Hill,0.03430,0.00008,0.00513,0.00634,0.00462,0.00475,0.00043,47,2022/08/11
The New York Times,0.01077,0.00012,0.00082,0.00236,0.00151,0.00262,0.00010,66,2022/08/11
The Wall Street Journal,0.00233,0.00011,0.00081,0.00037,0.00093,0.00016,0.00006,68,2022/08/11
The Washington Post,0.01844,0.00007,0.00033,0.00728,0.00261,0.00282,0.00078,102,2022/08/11
The Washington Times,0.02127,0.00006,0.00031,0.00524,0.00246,0.00369,0.00380,36,2022/08/11
Washington Examiner,0.01394,0.00005,0.00034,0.00105,0.00403,0.00063,0.00020,64,2022/08/11
