name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.01539,0.00025,0.00091,0.00283,0.00807,0.00104,0.00034,50,2022/08/17
BBC,0.00507,0.00024,0.00139,0.00104,0.00171,0.00071,0.00016,45,2022/08/17
Fox News,0.01473,0.00010,0.00086,0.00344,0.00457,0.00068,0.00024,166,2022/08/17
NBC News,0.02789,0.00020,0.00059,0.01836,0.00328,0.00106,0.00091,54,2022/08/17
New York Post,0.06425,0.00056,0.03886,0.00036,0.02467,0.00145,0.00120,40,2022/08/17
Newsmax,0.01271,0.00007,0.00050,0.00178,0.00205,0.00356,0.00010,50,2022/08/17
Newsweek,0.02027,0.00007,0.00059,0.00302,0.00177,0.00357,0.00206,92,2022/08/17
One America News Network (OAN),0.00075,0.00018,0.00121,0.00033,0.00108,0.00012,0.00007,28,2022/08/17
Reuters,0.04551,0.00012,0.00053,0.03175,0.00219,0.00504,0.00030,35,2022/08/17
The Epoch Times,0.01297,0.00016,0.00121,0.00177,0.00206,0.00072,0.00633,103,2022/08/17
The Guardian (US),0.04106,0.00037,0.00971,0.00271,0.01549,0.00179,0.01248,96,2022/08/17
The Hill,0.00142,0.00003,0.00021,0.00011,0.00069,0.00008,0.00003,42,2022/08/17
The New York Times,0.02608,0.00018,0.00383,0.00697,0.00178,0.00206,0.00503,62,2022/08/17
The Wall Street Journal,0.00765,0.00007,0.00043,0.00044,0.00360,0.00023,0.00014,68,2022/08/17
The Washington Post,0.02535,0.00019,0.00976,0.00099,0.00935,0.00289,0.00041,96,2022/08/17
The Washington Times,0.02860,0.00011,0.00027,0.00522,0.00108,0.01918,0.00025,36,2022/08/17
Washington Examiner,0.04029,0.00006,0.00036,0.01250,0.01653,0.00095,0.00012,62,2022/08/17
