name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.00635,0.00006,0.00037,0.00212,0.00184,0.00054,0.00006,6.25,52.08,41.67,48,2022/08/09
BBC,0.01277,0.00025,0.00182,0.00314,0.00328,0.00202,0.00019,9.302,51.16,39.53,43,2022/08/09
Fox News,0.01596,0.00011,0.00270,0.00389,0.00516,0.00064,0.00040,12.43,39.05,48.52,169,2022/08/09
NBC News,0.02451,0.00014,0.00058,0.01150,0.00197,0.00649,0.00032,3.03,31.82,65.15,66,2022/08/09
New York Post,0.05353,0.00009,0.00268,0.00047,0.02164,0.00310,0.00338,5.0,40.0,55.0,40,2022/08/09
Newsmax,0.02113,0.00015,0.00084,0.00972,0.00135,0.00454,0.00013,4.0,60.0,36.0,50,2022/08/09
Newsweek,0.02157,0.00006,0.00055,0.00173,0.00804,0.00030,0.00461,5.618,64.04,30.34,89,2022/08/09
One America News Network (OAN),0.00626,0.00029,0.00115,0.00044,0.00203,0.00243,0.00012,10.71,57.14,32.14,28,2022/08/09
Reuters,0.02860,0.00014,0.00069,0.00792,0.00135,0.01164,0.00011,7.692,51.28,41.03,39,2022/08/09
The Epoch Times,0.01471,0.00017,0.00137,0.00219,0.00192,0.00621,0.00012,13.0,57.0,30.0,100,2022/08/09
The Guardian (US),0.03690,0.00018,0.00130,0.01074,0.01073,0.00356,0.00639,8.511,39.36,52.13,94,2022/08/09
The Hill,0.01208,0.00005,0.00045,0.00048,0.00550,0.00024,0.00120,2.273,54.55,43.18,44,2022/08/09
The New York Times,0.06453,0.00028,0.00192,0.01237,0.01263,0.01389,0.01422,13.24,45.59,41.18,68,2022/08/09
The Wall Street Journal,0.00155,0.00014,0.00108,0.00033,0.00119,0.00026,0.00006,10.77,61.54,27.69,65,2022/08/09
The Washington Post,0.01482,0.00005,0.00031,0.00143,0.00548,0.00115,0.00140,13.59,44.66,41.75,103,2022/08/09
The Washington Times,0.00340,0.00004,0.00018,0.00074,0.00097,0.00022,0.00005,13.51,45.95,40.54,37,2022/08/09
Washington Examiner,0.01417,0.00006,0.00038,0.00189,0.00203,0.00436,0.00079,7.812,43.75,48.44,64,2022/08/09
