name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.01759,0.00007,0.00040,0.00202,0.00157,0.00696,0.00012,4.167,50.0,45.83,48,2022/08/06
BBC,0.01431,0.00013,0.00091,0.00061,0.00134,0.00938,0.00012,20.83,31.25,47.92,48,2022/08/06
Fox News,0.04189,0.00020,0.00802,0.00438,0.01445,0.00097,0.00992,12.57,39.52,47.9,167,2022/08/06
NBC News,0.01964,0.00006,0.00040,0.00572,0.00550,0.00030,0.00018,6.452,25.81,67.74,62,2022/08/06
New York Post,0.00858,0.00010,0.00129,0.00038,0.00233,0.00055,0.00038,12.5,37.5,50.0,40,2022/08/06
Newsmax,0.01843,0.00010,0.00049,0.00152,0.00078,0.00975,0.00214,1.961,45.1,52.94,51,2022/08/06
Newsweek,0.01151,0.00007,0.00058,0.00050,0.00339,0.00070,0.00109,8.046,50.57,41.38,87,2022/08/06
One America News Network (OAN),0.00665,0.00006,0.00053,0.00065,0.00277,0.00012,0.00007,10.71,60.71,28.57,28,2022/08/06
Reuters,0.00598,0.00008,0.00037,0.00061,0.00040,0.00328,0.00010,11.54,42.31,46.15,26,2022/08/06
The Epoch Times,0.02315,0.00043,0.00310,0.00846,0.00497,0.00401,0.00596,15.89,57.94,26.17,107,2022/08/06
The Guardian (US),0.03013,0.00015,0.00091,0.00298,0.01572,0.00339,0.00020,14.74,32.63,52.63,95,2022/08/06
The Hill,0.02311,0.00007,0.00050,0.01235,0.00289,0.00584,0.00026,6.122,46.94,46.94,49,2022/08/06
The New York Times,0.00491,0.00009,0.00058,0.00036,0.00229,0.00063,0.00007,21.21,46.97,31.82,66,2022/08/06
The Wall Street Journal,0.01087,0.00011,0.00085,0.00184,0.00089,0.00220,0.00010,16.42,61.19,22.39,67,2022/08/06
The Washington Post,0.02313,0.00008,0.00041,0.00268,0.00487,0.00783,0.00209,10.19,32.41,57.41,108,2022/08/06
The Washington Times,0.01319,0.00005,0.00024,0.00398,0.00133,0.00090,0.00009,9.524,42.86,47.62,42,2022/08/06
Washington Examiner,0.01788,0.00011,0.00072,0.01181,0.00239,0.00157,0.00030,6.154,30.77,63.08,65,2022/08/06
