name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.02285,0.00011,0.00063,0.00241,0.00384,0.00062,0.01061,50,2022/09/28
BBC,0.01069,0.00007,0.00048,0.00063,0.00142,0.00337,0.00024,45,2022/09/28
Fox News,0.02370,0.00008,0.00336,0.00099,0.00722,0.00217,0.00462,166,2022/09/28
NBC News,0.04575,0.00062,0.00162,0.03097,0.01484,0.00130,0.00168,68,2022/09/28
New York Post,0.07279,0.00035,0.00673,0.00112,0.01504,0.00134,0.04328,39,2022/09/28
Newsmax,0.03958,0.00012,0.00091,0.00190,0.02479,0.00092,0.00645,50,2022/09/28
Newsweek,0.01789,0.00010,0.00140,0.00445,0.00704,0.00035,0.00533,102,2022/09/28
One America News Network (OAN),0.00194,0.00006,0.00053,0.00050,0.00098,0.00010,0.00006,36,2022/09/28
Reuters,0.01150,0.00006,0.00028,0.00049,0.00058,0.00578,0.00008,32,2022/09/28
The Epoch Times,0.01004,0.00021,0.00176,0.00451,0.00213,0.00025,0.00072,101,2022/09/28
The Guardian (US),0.01663,0.00011,0.00075,0.00359,0.00837,0.00053,0.00021,91,2022/09/28
The Hill,0.01603,0.00004,0.00026,0.00021,0.01213,0.00023,0.00008,44,2022/09/28
The New York Times,0.03006,0.00014,0.00093,0.01194,0.00373,0.00094,0.01201,67,2022/09/28
The Wall Street Journal,0.01570,0.00009,0.00066,0.00988,0.00137,0.00177,0.00023,69,2022/09/28
The Washington Post,0.01061,0.00006,0.00035,0.00095,0.00393,0.00110,0.00054,111,2022/09/28
The Washington Times,0.00964,0.00004,0.00025,0.00154,0.00173,0.00075,0.00007,37,2022/09/28
Washington Examiner,0.03539,0.00005,0.00040,0.01127,0.01285,0.00475,0.00011,64,2022/09/28
