name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.00216,0.00004,0.00031,0.00035,0.00072,0.00009,0.00006,50,2022/09/23
BBC,0.01112,0.00009,0.00076,0.00152,0.00136,0.00146,0.00018,44,2022/09/23
Fox News,0.01903,0.00008,0.00058,0.00504,0.01185,0.00103,0.00021,166,2022/09/23
NBC News,0.03560,0.00024,0.00092,0.02791,0.00714,0.00100,0.00183,68,2022/09/23
New York Post,0.05615,0.00011,0.00131,0.00064,0.02548,0.00059,0.02128,42,2022/09/23
Newsmax,0.01411,0.00006,0.00061,0.00143,0.00260,0.00097,0.00035,50,2022/09/23
Newsweek,0.03405,0.00015,0.00134,0.00491,0.01800,0.00141,0.00240,97,2022/09/23
One America News Network (OAN),0.01930,0.00012,0.00065,0.00225,0.00409,0.00597,0.00014,36,2022/09/23
Reuters,0.02166,0.00006,0.00030,0.00418,0.00166,0.01093,0.00011,41,2022/09/23
The Epoch Times,0.00460,0.00022,0.00147,0.00111,0.00186,0.00037,0.00014,97,2022/09/23
The Guardian (US),0.02007,0.00009,0.00061,0.00150,0.00577,0.00124,0.00466,93,2022/09/23
The Hill,0.01088,0.00008,0.00039,0.00276,0.00129,0.00181,0.00023,47,2022/09/23
The New York Times,0.02216,0.00018,0.00111,0.00188,0.00399,0.00620,0.00016,67,2022/09/23
The Wall Street Journal,0.00471,0.00005,0.00045,0.00052,0.00138,0.00014,0.00015,69,2022/09/23
The Washington Post,0.02603,0.00012,0.00044,0.00528,0.01147,0.00203,0.00125,102,2022/09/23
The Washington Times,0.01192,0.00004,0.00023,0.00075,0.00762,0.00026,0.00007,36,2022/09/23
Washington Examiner,0.02723,0.00006,0.00065,0.00049,0.01455,0.00216,0.00023,65,2022/09/23
