name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.00532,0.00008,0.00055,0.00033,0.00158,0.00089,0.00008,49,2023/01/16
BBC,0.00694,0.00012,0.00088,0.00138,0.00308,0.00020,0.00018,45,2023/01/16
Fox News,0.01544,0.00008,0.00041,0.00085,0.00478,0.00384,0.00015,159,2023/01/16
NBC News,0.03342,0.00015,0.00113,0.01808,0.00572,0.00057,0.00208,67,2023/01/16
New York Post,0.04497,0.00215,0.01432,0.01943,0.01371,0.00563,0.01976,40,2023/01/16
Newsmax,0.01094,0.00016,0.00146,0.00412,0.00262,0.00172,0.00008,50,2023/01/16
Newsweek,0.03553,0.00033,0.00460,0.00133,0.01842,0.00175,0.00947,104,2023/01/16
One America News Network (OAN),0.00731,0.00008,0.00066,0.00030,0.00116,0.00129,0.00010,28,2023/01/16
Reuters,0.00482,0.00007,0.00054,0.00127,0.00095,0.00035,0.00012,32,2023/01/16
The Epoch Times,0.01043,0.00019,0.00153,0.00245,0.00358,0.00019,0.00134,101,2023/01/16
The Guardian (US),0.03636,0.00009,0.00085,0.00157,0.01519,0.00140,0.00675,94,2023/01/16
The Hill,0.02564,0.00006,0.00035,0.00715,0.01475,0.00029,0.00013,40,2023/01/16
The New York Times,0.01346,0.00010,0.00051,0.00828,0.00136,0.00099,0.00017,61,2023/01/16
The Wall Street Journal,0.01628,0.00007,0.00073,0.00043,0.01378,0.00020,0.00007,68,2023/01/16
The Washington Post,0.02471,0.00012,0.00054,0.01181,0.00708,0.00062,0.00037,97,2023/01/16
The Washington Times,0.05603,0.00017,0.00157,0.01395,0.03975,0.00461,0.00082,40,2023/01/16
Washington Examiner,0.01061,0.00008,0.00054,0.00307,0.00136,0.00062,0.00049,66,2023/01/16
