name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.01169,0.00019,0.00111,0.00364,0.00131,0.00166,0.00031,50,2023/01/28
BBC,0.08040,0.00025,0.00117,0.02468,0.00718,0.02604,0.00878,48,2023/01/28
Fox News,0.02438,0.00011,0.00361,0.00523,0.00397,0.00219,0.00205,149,2023/01/28
NBC News,0.05418,0.00015,0.00069,0.02720,0.00372,0.00266,0.00701,65,2023/01/28
New York Post,0.02497,0.00015,0.00138,0.00203,0.00359,0.00111,0.00252,44,2023/01/28
Newsmax,0.02818,0.00016,0.00133,0.00419,0.01417,0.00112,0.00011,50,2023/01/28
Newsweek,0.02609,0.00013,0.00108,0.00101,0.01489,0.00395,0.00018,96,2023/01/28
One America News Network (OAN),0.02467,0.00012,0.00095,0.00135,0.00372,0.00319,0.00045,28,2023/01/28
Reuters,0.00884,0.00014,0.00104,0.00060,0.00105,0.00211,0.00013,41,2023/01/28
The Epoch Times,0.01406,0.00018,0.00124,0.00175,0.00318,0.00423,0.00020,110,2023/01/28
The Guardian (US),0.02436,0.00011,0.00060,0.00571,0.00718,0.00066,0.00567,93,2023/01/28
The Hill,0.02050,0.00007,0.00032,0.00037,0.00107,0.01232,0.00015,42,2023/01/28
The New York Times,0.01760,0.00017,0.00096,0.00766,0.00285,0.00337,0.00017,71,2023/01/28
The Wall Street Journal,0.00564,0.00017,0.00123,0.00072,0.00145,0.00091,0.00008,68,2023/01/28
The Washington Post,0.03145,0.00007,0.00070,0.00255,0.01527,0.00266,0.00030,93,2023/01/28
The Washington Times,0.04743,0.00024,0.00079,0.02778,0.00251,0.00467,0.00066,34,2023/01/28
Washington Examiner,0.02199,0.00009,0.00044,0.00885,0.00288,0.00215,0.00134,64,2023/01/28
