name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.03182,0.00008,0.00071,0.00046,0.01548,0.00566,0.00021,50,2023/01/22
BBC,0.00492,0.00009,0.00071,0.00050,0.00224,0.00031,0.00010,48,2023/01/22
Fox News,0.02116,0.00011,0.00481,0.00227,0.00370,0.00152,0.00052,167,2023/01/22
NBC News,0.03165,0.00011,0.00052,0.01467,0.00597,0.00040,0.00892,65,2023/01/22
New York Post,0.05805,0.00015,0.00124,0.00406,0.00587,0.02427,0.00432,40,2023/01/22
Newsmax,0.01493,0.00008,0.00042,0.00061,0.00063,0.00831,0.00016,50,2023/01/22
Newsweek,0.03346,0.00024,0.00197,0.00659,0.01496,0.00046,0.01010,90,2023/01/22
One America News Network (OAN),0.01007,0.00004,0.00025,0.00412,0.00050,0.00030,0.00005,28,2023/01/22
Reuters,0.00954,0.00006,0.00040,0.00041,0.00137,0.00298,0.00009,29,2023/01/22
The Epoch Times,0.00992,0.00023,0.00178,0.00094,0.00263,0.00285,0.00022,109,2023/01/22
The Guardian (US),0.03428,0.00017,0.00325,0.00783,0.01055,0.00106,0.00559,93,2023/01/22
The Hill,0.00408,0.00005,0.00054,0.00097,0.00067,0.00012,0.00019,40,2023/01/22
The New York Times,0.00708,0.00006,0.00076,0.00063,0.00160,0.00050,0.00010,76,2023/01/22
The Wall Street Journal,0.00108,0.00011,0.00081,0.00027,0.00089,0.00012,0.00007,65,2023/01/22
The Washington Post,0.01488,0.00006,0.00040,0.00482,0.00322,0.00042,0.00183,95,2023/01/22
The Washington Times,0.00157,0.00004,0.00021,0.00033,0.00054,0.00012,0.00005,37,2023/01/22
Washington Examiner,0.01214,0.00004,0.00037,0.00160,0.00605,0.00024,0.00012,63,2023/01/22
