name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.01518,0.00007,0.00069,0.00040,0.00838,0.00078,0.00015,43,2022/01/14
BBC,0.01928,0.00015,0.00075,0.00531,0.00552,0.00210,0.00052,49,2022/01/14
Fox News,0.01614,0.00048,0.00212,0.00308,0.00279,0.00076,0.00836,119,2022/01/14
NBC News,0.02974,0.00022,0.00130,0.01646,0.00460,0.00201,0.00146,67,2022/01/14
New York Post,0.07553,0.00018,0.00190,0.00749,0.05996,0.00056,0.00127,29,2022/01/14
Newsmax,0.01117,0.00007,0.00058,0.00047,0.00724,0.00015,0.00025,37,2022/01/14
Newsweek,0.02040,0.00027,0.00070,0.00857,0.00543,0.00404,0.00067,97,2022/01/14
One America News Network (OAN),0.00843,0.00006,0.00046,0.00092,0.00122,0.00230,0.00011,28,2022/01/14
The Epoch Times,0.00749,0.00008,0.00058,0.00050,0.00108,0.00108,0.00177,106,2022/01/14
The Guardian (US),0.03204,0.00010,0.00099,0.00074,0.01175,0.00580,0.00222,98,2022/01/14
The Hill,0.01740,0.00004,0.00042,0.00017,0.01296,0.00062,0.00012,30,2022/01/14
The New York Times,0.04723,0.00014,0.00135,0.00060,0.02361,0.00252,0.00955,67,2022/01/14
The Wall Street Journal,0.00547,0.00010,0.00093,0.00088,0.00122,0.00040,0.00070,67,2022/01/14
The Washington Post,0.04178,0.00008,0.00091,0.00251,0.02600,0.00083,0.00473,109,2022/01/14
The Washington Times,0.01596,0.00003,0.00021,0.00028,0.01114,0.00036,0.00004,26,2022/01/14
Washington Examiner,0.04143,0.00005,0.00047,0.00081,0.03361,0.00027,0.00047,63,2022/01/14
