name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.02380,0.00015,0.00111,0.00051,0.01075,0.00830,0.00018,42,2022/01/11
BBC,0.02027,0.00013,0.00072,0.00174,0.01110,0.00112,0.00019,50,2022/01/11
Fox News,0.01081,0.00011,0.00053,0.00224,0.00363,0.00143,0.00033,117,2022/01/11
NBC News,0.03863,0.00010,0.00047,0.01238,0.00616,0.00780,0.00132,67,2022/01/11
New York Post,0.09978,0.00009,0.00194,0.00057,0.06343,0.00181,0.00831,28,2022/01/11
Newsmax,0.07647,0.00006,0.00057,0.00082,0.05876,0.00542,0.00011,37,2022/01/11
Newsweek,0.01498,0.00012,0.00070,0.00222,0.00441,0.00509,0.00009,100,2022/01/11
One America News Network (OAN),0.00308,0.00007,0.00042,0.00041,0.00051,0.00113,0.00010,28,2022/01/11
The Epoch Times,0.00351,0.00025,0.00171,0.00138,0.00188,0.00024,0.00012,99,2022/01/11
The Guardian (US),0.02503,0.00041,0.00281,0.00129,0.00594,0.00367,0.01024,96,2022/01/11
The Hill,0.00656,0.00005,0.00028,0.00021,0.00077,0.00204,0.00009,30,2022/01/11
The New York Times,0.01243,0.00013,0.00136,0.00084,0.00682,0.00029,0.00047,64,2022/01/11
The Wall Street Journal,0.00481,0.00006,0.00053,0.00024,0.00359,0.00015,0.00005,68,2022/01/11
The Washington Post,0.01630,0.00008,0.00059,0.00113,0.00905,0.00059,0.00016,106,2022/01/11
The Washington Times,0.01759,0.00007,0.00133,0.00215,0.00099,0.01060,0.00016,28,2022/01/11
Washington Examiner,0.04932,0.00013,0.00047,0.01520,0.01357,0.01324,0.00039,66,2022/01/11
