name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.01448,0.00005,0.00044,0.00363,0.00396,0.00087,0.00008,47,2022/01/09
BBC,0.02194,0.00005,0.00037,0.00047,0.01467,0.00080,0.00313,52,2022/01/09
Fox News,0.02079,0.00007,0.00051,0.00235,0.00536,0.00020,0.00994,119,2022/01/09
NBC News,0.03284,0.00010,0.00071,0.01733,0.00406,0.00058,0.00150,60,2022/01/09
New York Post,0.07264,0.00019,0.00174,0.00119,0.01234,0.00104,0.02774,28,2022/01/09
Newsmax,0.08172,0.00028,0.00889,0.00344,0.05252,0.00989,0.00284,37,2022/01/09
Newsweek,0.02944,0.00012,0.00071,0.00555,0.01219,0.00067,0.00390,87,2022/01/09
One America News Network (OAN),0.02904,0.00009,0.00048,0.00075,0.02353,0.00011,0.00009,28,2022/01/09
The Epoch Times,0.00302,0.00018,0.00143,0.00059,0.00191,0.00035,0.00013,106,2022/01/09
The Guardian (US),0.02558,0.00013,0.00079,0.01071,0.00460,0.00139,0.00709,94,2022/01/09
The Hill,0.00182,0.00004,0.00026,0.00018,0.00036,0.00066,0.00007,31,2022/01/09
The New York Times,0.01434,0.00015,0.00107,0.00985,0.00356,0.00031,0.00020,62,2022/01/09
The Wall Street Journal,0.00400,0.00009,0.00059,0.00229,0.00072,0.00010,0.00006,63,2022/01/09
The Washington Post,0.01844,0.00007,0.00052,0.00079,0.00682,0.00048,0.00585,103,2022/01/09
The Washington Times,0.05177,0.00007,0.00053,0.02323,0.00471,0.00039,0.00445,30,2022/01/09
Washington Examiner,0.00826,0.00007,0.00052,0.00044,0.00313,0.00123,0.00048,65,2022/01/09
