name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.00645,0.00007,0.00056,0.00281,0.00102,0.00069,0.00013,45,2022/01/16
BBC,0.01518,0.00010,0.00079,0.00072,0.00935,0.00131,0.00022,51,2022/01/16
Fox News,0.01816,0.00012,0.00132,0.00431,0.00315,0.00047,0.00659,118,2022/01/16
NBC News,0.02992,0.00014,0.00052,0.02237,0.00446,0.00123,0.00034,60,2022/01/16
New York Post,0.05182,0.00016,0.00086,0.00102,0.00671,0.02532,0.00255,29,2022/01/16
Newsmax,0.01785,0.00013,0.00107,0.00063,0.00138,0.00513,0.00029,37,2022/01/16
Newsweek,0.02212,0.00016,0.00072,0.01599,0.00192,0.00100,0.00232,92,2022/01/16
One America News Network (OAN),0.02775,0.00013,0.00095,0.01300,0.00740,0.00073,0.00010,25,2022/01/16
The Epoch Times,0.00589,0.00017,0.00143,0.00049,0.00163,0.00067,0.00189,104,2022/01/16
The Guardian (US),0.01495,0.00010,0.00050,0.00179,0.00121,0.00137,0.00860,94,2022/01/16
The Hill,0.00383,0.00016,0.00123,0.00038,0.00184,0.00050,0.00009,30,2022/01/16
The New York Times,0.00924,0.00009,0.00077,0.00047,0.00227,0.00033,0.00473,70,2022/01/16
The Wall Street Journal,0.00918,0.00006,0.00053,0.00023,0.00747,0.00012,0.00005,64,2022/01/16
The Washington Post,0.02049,0.00008,0.00052,0.00685,0.00267,0.00381,0.00019,101,2022/01/16
The Washington Times,0.00213,0.00004,0.00022,0.00033,0.00073,0.00012,0.00008,31,2022/01/16
Washington Examiner,0.03340,0.00005,0.00202,0.00032,0.02750,0.00065,0.00009,66,2022/01/16
