name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.01780,0.00008,0.00041,0.00192,0.00194,0.00686,0.00025,48,2022/03/04
BBC,0.01613,0.00011,0.00077,0.00054,0.01047,0.00112,0.00012,50,2022/03/04
Fox News,0.02260,0.00008,0.00048,0.00280,0.01162,0.00339,0.00031,126,2022/03/04
NBC News,0.04014,0.00020,0.00097,0.02488,0.00588,0.00273,0.00132,68,2022/03/04
New York Post,0.11978,0.00061,0.05541,0.00491,0.03382,0.00294,0.03934,32,2022/03/04
Newsmax,0.01223,0.00008,0.00056,0.00442,0.00153,0.00127,0.00007,37,2022/03/04
Newsweek,0.02752,0.00020,0.00100,0.01095,0.00514,0.00388,0.00026,79,2022/03/04
One America News Network (OAN),0.01092,0.00006,0.00045,0.00101,0.00332,0.00135,0.00007,25,2022/03/04
Reuters,0.00887,0.00005,0.00034,0.00172,0.00254,0.00042,0.00010,48,2022/03/04
The Epoch Times,0.00287,0.00008,0.00069,0.00045,0.00157,0.00011,0.00025,98,2022/03/04
The Guardian (US),0.02974,0.00018,0.00064,0.01223,0.01097,0.00184,0.00049,113,2022/03/04
The Hill,0.04166,0.00008,0.00065,0.00162,0.01613,0.01066,0.00026,30,2022/03/04
The New York Times,0.00599,0.00013,0.00116,0.00073,0.00146,0.00229,0.00069,74,2022/03/04
The Wall Street Journal,0.00306,0.00007,0.00052,0.00050,0.00133,0.00017,0.00005,70,2022/03/04
The Washington Post,0.02715,0.00008,0.00175,0.00387,0.01037,0.00330,0.00440,113,2022/03/04
The Washington Times,0.02873,0.00009,0.00040,0.00289,0.00113,0.01246,0.00020,29,2022/03/04
Washington Examiner,0.04771,0.00008,0.00032,0.00235,0.00864,0.01734,0.00028,66,2022/03/04
