name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.00530,0.00007,0.00036,0.00223,0.00099,0.00024,0.00009,50,2022/05/27
BBC,0.01518,0.00014,0.00120,0.00122,0.00625,0.00118,0.00016,50,2022/05/27
Fox News,0.00870,0.00008,0.00051,0.00030,0.00384,0.00071,0.00029,167,2022/05/27
NBC News,0.03568,0.00013,0.00045,0.00668,0.00895,0.00661,0.00594,63,2022/05/27
New York Post,0.09458,0.00047,0.02422,0.00102,0.02420,0.00348,0.04075,43,2022/05/27
Newsmax,0.00791,0.00006,0.00047,0.00059,0.00098,0.00137,0.00007,38,2022/05/27
Newsweek,0.01828,0.00015,0.00103,0.00180,0.00877,0.00174,0.00072,98,2022/05/27
One America News Network (OAN),0.00139,0.00004,0.00032,0.00025,0.00052,0.00016,0.00006,22,2022/05/27
Reuters,0.01371,0.00004,0.00031,0.00026,0.01058,0.00013,0.00008,51,2022/05/27
The Epoch Times,0.00780,0.00019,0.00138,0.00051,0.00197,0.00043,0.00541,105,2022/05/27
The Guardian (US),0.01821,0.00024,0.00100,0.00563,0.00304,0.00292,0.00058,96,2022/05/27
The Hill,0.00618,0.00004,0.00029,0.00031,0.00082,0.00121,0.00011,47,2022/05/27
The New York Times,0.03305,0.00024,0.00067,0.01390,0.00219,0.00390,0.00262,60,2022/05/27
The Wall Street Journal,0.00690,0.00004,0.00028,0.00262,0.00049,0.00066,0.00005,66,2022/05/27
The Washington Post,0.01155,0.00006,0.00040,0.00201,0.00343,0.00062,0.00074,109,2022/05/27
The Washington Times,0.01614,0.00006,0.00030,0.00090,0.00106,0.00364,0.00013,27,2022/05/27
Washington Examiner,0.02434,0.00007,0.00034,0.00107,0.00141,0.01065,0.00016,62,2022/05/27
