name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.00537,0.00036,0.00284,0.00400,0.00311,0.00042,0.00017,8.108,59.46,32.43,37,2022/05/03
BBC,0.01343,0.00013,0.00087,0.00332,0.00837,0.00073,0.00020,22.0,44.0,34.0,50,2022/05/03
Fox News,0.01346,0.00008,0.00090,0.00148,0.00425,0.00166,0.00015,14.45,43.35,42.2,173,2022/05/03
NBC News,0.05749,0.00077,0.00267,0.03575,0.00813,0.00224,0.00366,4.615,41.54,53.85,65,2022/05/03
New York Post,0.07170,0.00046,0.00825,0.00110,0.00923,0.01004,0.02824,17.24,34.48,48.28,29,2022/05/03
Newsmax,0.06137,0.00019,0.00101,0.01323,0.00931,0.02004,0.00031,2.703,51.35,45.95,37,2022/05/03
Newsweek,0.02277,0.00018,0.00667,0.00318,0.00370,0.00200,0.00029,12.9,52.69,34.41,93,2022/05/03
One America News Network (OAN),0.00170,0.00003,0.00025,0.00021,0.00055,0.00011,0.00004,4.545,68.18,27.27,22,2022/05/03
Reuters,0.01338,0.00004,0.00024,0.00138,0.00062,0.00446,0.00007,8.163,38.78,53.06,49,2022/05/03
The Epoch Times,0.00292,0.00013,0.00107,0.00044,0.00187,0.00019,0.00012,15.24,54.29,30.48,105,2022/05/03
The Guardian (US),0.02148,0.00014,0.00111,0.00608,0.00610,0.00287,0.00033,12.0,34.0,54.0,100,2022/05/03
The Hill,0.01644,0.00016,0.00059,0.00037,0.00100,0.00037,0.01925,11.11,48.15,40.74,27,2022/05/03
The New York Times,0.00701,0.00010,0.00060,0.00353,0.00081,0.00036,0.00027,8.955,58.21,32.84,67,2022/05/03
The Wall Street Journal,0.00402,0.00005,0.00035,0.00031,0.00164,0.00033,0.00006,18.75,50.0,31.25,64,2022/05/03
The Washington Post,0.02948,0.00009,0.00106,0.00219,0.01630,0.00055,0.00354,13.39,32.14,54.46,112,2022/05/03
The Washington Times,0.03328,0.00028,0.00073,0.01835,0.00302,0.00153,0.00565,10.0,50.0,40.0,30,2022/05/03
Washington Examiner,0.03397,0.00011,0.00043,0.01286,0.01180,0.00173,0.00033,3.03,46.97,50.0,66,2022/05/03
