name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.00370,0.00007,0.00053,0.00028,0.00087,0.00045,0.00107,44,2022/05/09
BBC,0.03702,0.00015,0.00114,0.00425,0.01675,0.00915,0.00017,50,2022/05/09
Fox News,0.02660,0.00011,0.00103,0.00395,0.01685,0.00089,0.00039,172,2022/05/09
NBC News,0.06232,0.00021,0.00107,0.02013,0.00360,0.00867,0.01471,61,2022/05/09
New York Post,0.07755,0.00014,0.00123,0.00859,0.03753,0.00907,0.00085,36,2022/05/09
Newsmax,0.04073,0.00016,0.00110,0.01253,0.00633,0.00915,0.00489,37,2022/05/09
Newsweek,0.01319,0.00009,0.00054,0.00203,0.00219,0.00202,0.00013,96,2022/05/09
One America News Network (OAN),0.00329,0.00003,0.00027,0.00017,0.00178,0.00005,0.00003,22,2022/05/09
Reuters,0.00620,0.00004,0.00024,0.00147,0.00055,0.00013,0.00137,52,2022/05/09
The Epoch Times,0.00446,0.00017,0.00114,0.00079,0.00133,0.00156,0.00012,95,2022/05/09
The Guardian (US),0.02836,0.00031,0.00210,0.00263,0.01073,0.00058,0.01059,93,2022/05/09
The Hill,0.00541,0.00004,0.00029,0.00089,0.00080,0.00111,0.00012,45,2022/05/09
The New York Times,0.00741,0.00012,0.00085,0.00130,0.00246,0.00024,0.00019,62,2022/05/09
The Wall Street Journal,0.01748,0.00022,0.00294,0.00072,0.00291,0.00739,0.00181,65,2022/05/09
The Washington Post,0.03112,0.00006,0.00062,0.00214,0.01506,0.00236,0.00026,93,2022/05/09
The Washington Times,0.00764,0.00006,0.00028,0.00428,0.00079,0.00039,0.00077,33,2022/05/09
Washington Examiner,0.02253,0.00032,0.01479,0.00083,0.00398,0.00087,0.00042,64,2022/05/09
