name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.03634,0.00015,0.00123,0.00399,0.01499,0.00487,0.00605,46,2022/05/14
BBC,0.02972,0.00008,0.00079,0.00527,0.00995,0.00102,0.00138,56,2022/05/14
Fox News,0.01973,0.00008,0.00068,0.00051,0.01070,0.00033,0.00043,161,2022/05/14
NBC News,0.03986,0.00022,0.00080,0.01508,0.00342,0.00590,0.00601,72,2022/05/14
New York Post,0.05207,0.00058,0.01168,0.00277,0.00488,0.00102,0.04044,39,2022/05/14
Newsmax,0.02198,0.00024,0.00213,0.00285,0.00831,0.00029,0.00160,37,2022/05/14
Newsweek,0.04141,0.00034,0.01076,0.00147,0.00984,0.00338,0.01303,75,2022/05/14
One America News Network (OAN),0.00135,0.00003,0.00023,0.00017,0.00048,0.00006,0.00003,22,2022/05/14
Reuters,0.03550,0.00013,0.00082,0.01036,0.00288,0.00259,0.00191,46,2022/05/14
The Epoch Times,0.00771,0.00015,0.00107,0.00431,0.00137,0.00091,0.00015,100,2022/05/14
The Guardian (US),0.02439,0.00008,0.00127,0.00078,0.01080,0.00120,0.00440,95,2022/05/14
The Hill,0.02856,0.00008,0.00038,0.01904,0.00368,0.00330,0.00045,50,2022/05/14
The New York Times,0.02682,0.00014,0.00093,0.00236,0.00614,0.00474,0.00085,71,2022/05/14
The Wall Street Journal,0.00317,0.00007,0.00060,0.00023,0.00146,0.00035,0.00005,61,2022/05/14
The Washington Post,0.01954,0.00012,0.00126,0.00274,0.00683,0.00054,0.00251,105,2022/05/14
The Washington Times,0.00679,0.00004,0.00025,0.00040,0.00197,0.00021,0.00022,32,2022/05/14
Washington Examiner,0.05065,0.00036,0.00331,0.00683,0.02278,0.00064,0.01452,65,2022/05/14
