name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.03365,0.00019,0.00115,0.00106,0.00236,0.00141,0.02429,55,2022/05/25
BBC,0.03095,0.00010,0.00076,0.00190,0.00918,0.00139,0.01003,50,2022/05/25
Fox News,0.02787,0.00013,0.00352,0.01094,0.00604,0.00097,0.00159,165,2022/05/25
NBC News,0.05163,0.00057,0.02717,0.01394,0.00434,0.00134,0.00095,66,2022/05/25
Newsmax,0.01112,0.00008,0.00059,0.00108,0.00120,0.00164,0.00011,38,2022/05/25
Newsweek,0.02264,0.00010,0.00090,0.00373,0.00930,0.00222,0.00018,112,2022/05/25
One America News Network (OAN),0.00304,0.00007,0.00040,0.00135,0.00075,0.00011,0.00009,22,2022/05/25
Reuters,0.01328,0.00006,0.00039,0.00097,0.00284,0.00388,0.00008,52,2022/05/25
The Epoch Times,0.01743,0.00022,0.00314,0.00096,0.01237,0.00029,0.00032,99,2022/05/25
The Guardian (US),0.04983,0.00025,0.00143,0.01509,0.01732,0.00154,0.00898,99,2022/05/25
The Hill,0.00591,0.00004,0.00031,0.00027,0.00157,0.00072,0.00020,43,2022/05/25
The New York Times,0.04099,0.00016,0.01175,0.00138,0.00956,0.00614,0.00179,71,2022/05/25
The Wall Street Journal,0.01596,0.00007,0.00044,0.00063,0.00086,0.00157,0.00912,65,2022/05/25
The Washington Post,0.01414,0.00006,0.00037,0.00172,0.00214,0.00253,0.00121,121,2022/05/25
The Washington Times,0.00874,0.00004,0.00027,0.00076,0.00127,0.00099,0.00010,32,2022/05/25
Washington Examiner,0.01409,0.00005,0.00056,0.00077,0.00469,0.00100,0.00071,61,2022/05/25
