name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.00885,0.00005,0.00030,0.00174,0.00139,0.00023,0.00162,12.0,52.0,36.0,50,2022/06/15
BBC,0.01076,0.00010,0.00070,0.00572,0.00194,0.00112,0.00017,12.24,40.82,46.94,49,2022/06/15
Fox News,0.03161,0.00050,0.01027,0.00960,0.01420,0.00263,0.00664,15.43,39.43,45.14,175,2022/06/15
NBC News,0.05465,0.00022,0.00117,0.04255,0.00607,0.00063,0.00116,15.71,32.86,51.43,70,2022/06/15
New York Post,0.07308,0.00058,0.04184,0.00071,0.02043,0.00489,0.00667,17.5,22.5,60.0,40,2022/06/15
Newsmax,0.00316,0.00006,0.00048,0.00096,0.00093,0.00018,0.00004,0.00000,56.76,43.24,37,2022/06/15
Newsweek,0.02542,0.00022,0.01006,0.00580,0.01249,0.00221,0.00100,7.778,44.44,47.78,90,2022/06/15
One America News Network (OAN),0.00136,0.00005,0.00032,0.00022,0.00048,0.00014,0.00007,9.091,72.73,18.18,22,2022/06/15
Reuters,0.02592,0.00016,0.00111,0.00060,0.00104,0.00023,0.02311,2.778,44.44,52.78,36,2022/06/15
The Epoch Times,0.01215,0.00009,0.00070,0.00055,0.00124,0.00035,0.00367,12.12,59.6,28.28,99,2022/06/15
The Guardian (US),0.02288,0.00011,0.00077,0.00951,0.00371,0.00033,0.00890,19.15,34.04,46.81,94,2022/06/15
The Hill,0.01341,0.00012,0.00060,0.00056,0.00507,0.00106,0.00016,0.00000,74.47,25.53,47,2022/06/15
The New York Times,0.00950,0.00012,0.00101,0.00148,0.00252,0.00052,0.00033,8.955,55.22,35.82,67,2022/06/15
The Wall Street Journal,0.02226,0.00007,0.00128,0.00053,0.00905,0.00036,0.00473,11.76,69.12,19.12,68,2022/06/15
The Washington Post,0.01543,0.00007,0.00036,0.00520,0.00252,0.00025,0.00387,16.82,39.25,43.93,107,2022/06/15
The Washington Times,0.02127,0.00006,0.00027,0.00238,0.00081,0.00049,0.01319,13.79,41.38,44.83,29,2022/06/15
Washington Examiner,0.01751,0.00005,0.00050,0.00458,0.00729,0.00140,0.00012,7.937,42.86,49.21,63,2022/06/15
