name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.00515,0.00010,0.00045,0.00302,0.00091,0.00028,0.00018,4.545,50.0,45.45,44,2022/06/24
BBC,0.01649,0.00009,0.00070,0.00363,0.00872,0.00100,0.00025,10.0,54.0,36.0,50,2022/06/24
Fox News,0.02809,0.00015,0.00071,0.01140,0.00727,0.00245,0.00039,15.82,39.55,44.63,177,2022/06/24
NBC News,0.05370,0.00019,0.00079,0.03650,0.00787,0.00125,0.00061,12.5,34.72,52.78,72,2022/06/24
New York Post,0.03192,0.00008,0.00075,0.00055,0.01507,0.00609,0.00109,17.5,35.0,47.5,40,2022/06/24
Newsmax,0.01925,0.00011,0.00041,0.01371,0.00208,0.00093,0.00032,8.108,56.76,35.14,37,2022/06/24
Newsweek,0.01862,0.00012,0.00062,0.00986,0.00307,0.00123,0.00024,8.421,50.53,41.05,95,2022/06/24
One America News Network (OAN),0.00205,0.00004,0.00026,0.00020,0.00067,0.00023,0.00006,9.091,54.55,36.36,22,2022/06/24
Reuters,0.00738,0.00007,0.00040,0.00061,0.00077,0.00204,0.00013,4.878,43.9,51.22,41,2022/06/24
The Epoch Times,0.01323,0.00024,0.00223,0.00065,0.00173,0.00078,0.00819,10.89,62.38,26.73,101,2022/06/24
The Guardian (US),0.02973,0.00010,0.00074,0.00072,0.01329,0.00569,0.00177,12.24,30.61,57.14,98,2022/06/24
The Hill,0.00362,0.00003,0.00023,0.00014,0.00081,0.00120,0.00006,11.63,53.49,34.88,43,2022/06/24
The New York Times,0.00578,0.00009,0.00076,0.00062,0.00180,0.00105,0.00015,7.576,53.03,39.39,66,2022/06/24
The Wall Street Journal,0.00107,0.00006,0.00040,0.00021,0.00052,0.00008,0.00007,17.91,67.16,14.93,67,2022/06/24
The Washington Post,0.03155,0.00007,0.00060,0.00126,0.01155,0.00250,0.00615,11.54,34.62,53.85,104,2022/06/24
The Washington Times,0.02261,0.00009,0.00048,0.01730,0.00414,0.00039,0.00032,17.65,41.18,41.18,34,2022/06/24
Washington Examiner,0.01906,0.00006,0.00038,0.00056,0.00681,0.00583,0.00033,11.29,40.32,48.39,62,2022/06/24
