name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.01649,0.00011,0.00082,0.00446,0.00139,0.00825,0.00011,45,2022/06/10
BBC,0.04302,0.00017,0.00140,0.00652,0.01336,0.01573,0.00131,49,2022/06/10
Fox News,0.02235,0.00012,0.00473,0.00599,0.00731,0.00168,0.00089,168,2022/06/10
NBC News,0.04977,0.00086,0.00214,0.02759,0.00710,0.01118,0.01706,71,2022/06/10
New York Post,0.06471,0.00048,0.01543,0.00082,0.01614,0.00935,0.02283,40,2022/06/10
Newsmax,0.01008,0.00011,0.00084,0.00085,0.00556,0.00100,0.00008,37,2022/06/10
Newsweek,0.03417,0.00020,0.01146,0.00088,0.01019,0.00224,0.00530,98,2022/06/10
One America News Network (OAN),0.01608,0.00007,0.00045,0.00030,0.00054,0.00011,0.01699,22,2022/06/10
Reuters,0.01379,0.00006,0.00026,0.00095,0.00063,0.00876,0.00008,41,2022/06/10
The Epoch Times,0.00969,0.00020,0.00267,0.00098,0.00390,0.00061,0.00062,102,2022/06/10
The Guardian (US),0.01723,0.00008,0.00127,0.00342,0.00300,0.00378,0.00040,99,2022/06/10
The Hill,0.02781,0.00005,0.00034,0.00254,0.00479,0.00758,0.00014,44,2022/06/10
The New York Times,0.00802,0.00005,0.00037,0.00060,0.00294,0.00077,0.00006,63,2022/06/10
The Wall Street Journal,0.00316,0.00005,0.00047,0.00029,0.00069,0.00024,0.00055,65,2022/06/10
The Washington Post,0.02103,0.00007,0.00050,0.00647,0.00463,0.00289,0.00037,111,2022/06/10
The Washington Times,0.01249,0.00008,0.00055,0.00070,0.00129,0.00086,0.01184,31,2022/06/10
Washington Examiner,0.02373,0.00008,0.00054,0.00086,0.00531,0.00374,0.00581,61,2022/06/10
