name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.01977,0.00011,0.00083,0.00617,0.00486,0.00074,0.00472,50,2022/06/20
BBC,0.02806,0.00023,0.00116,0.00289,0.00178,0.00173,0.01984,50,2022/06/20
Fox News,0.03272,0.00010,0.00070,0.00352,0.01644,0.00273,0.00302,164,2022/06/20
NBC News,0.03335,0.00022,0.00095,0.02167,0.00487,0.00068,0.00317,72,2022/06/20
New York Post,0.02718,0.00011,0.00209,0.01637,0.01572,0.00038,0.00054,40,2022/06/20
Newsmax,0.02182,0.00009,0.00063,0.00412,0.00413,0.00132,0.00843,37,2022/06/20
Newsweek,0.05464,0.00016,0.00172,0.02446,0.01769,0.00309,0.00152,79,2022/06/20
One America News Network (OAN),0.00691,0.00005,0.00029,0.00042,0.00050,0.00536,0.00012,22,2022/06/20
Reuters,0.01049,0.00005,0.00035,0.00747,0.00084,0.00019,0.00008,39,2022/06/20
The Epoch Times,0.00913,0.00033,0.00231,0.00168,0.00251,0.00035,0.00460,98,2022/06/20
The Guardian (US),0.05473,0.00017,0.00847,0.02373,0.01556,0.00089,0.00624,94,2022/06/20
The Hill,0.01520,0.00006,0.00024,0.01375,0.00189,0.00055,0.00012,44,2022/06/20
The New York Times,0.03494,0.00016,0.00812,0.00631,0.00527,0.00249,0.00553,61,2022/06/20
The Wall Street Journal,0.00612,0.00009,0.00068,0.00568,0.00096,0.00019,0.00010,68,2022/06/20
The Washington Post,0.02670,0.00016,0.00079,0.00869,0.00501,0.00202,0.00463,99,2022/06/20
The Washington Times,0.00834,0.00005,0.00026,0.00064,0.00278,0.00014,0.00208,29,2022/06/20
Washington Examiner,0.01804,0.00007,0.00085,0.00232,0.00413,0.00187,0.00016,65,2022/06/20
