name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.01571,0.00016,0.00052,0.00935,0.00154,0.00258,0.00025,50,2022/10/16
BBC,0.04061,0.00013,0.00112,0.00226,0.00540,0.01525,0.00057,47,2022/10/16
Fox News,0.01770,0.00008,0.00084,0.00150,0.00296,0.00205,0.00595,163,2022/10/16
NBC News,0.04908,0.00022,0.00092,0.03176,0.00759,0.00110,0.00106,63,2022/10/16
New York Post,0.06188,0.00030,0.01155,0.00106,0.00948,0.01188,0.02726,39,2022/10/16
Newsmax,0.01148,0.00006,0.00037,0.00167,0.00079,0.00307,0.00017,50,2022/10/16
Newsweek,0.05360,0.00014,0.00123,0.00976,0.03218,0.00664,0.00023,91,2022/10/16
One America News Network (OAN),0.05378,0.00030,0.00171,0.00072,0.00243,0.03680,0.00029,36,2022/10/16
Reuters,0.01157,0.00006,0.00033,0.00137,0.00109,0.00141,0.00248,33,2022/10/16
The Epoch Times,0.00982,0.00031,0.00228,0.00255,0.00287,0.00078,0.00148,106,2022/10/16
The Guardian (US),0.06066,0.00026,0.00935,0.00290,0.03042,0.00636,0.00527,100,2022/10/16
The Hill,0.03374,0.00010,0.00866,0.01028,0.02184,0.00020,0.00015,48,2022/10/16
The New York Times,0.00689,0.00014,0.00052,0.00203,0.00103,0.00113,0.00018,67,2022/10/16
The Wall Street Journal,0.00422,0.00006,0.00047,0.00026,0.00291,0.00010,0.00005,65,2022/10/16
The Washington Post,0.02612,0.00008,0.00038,0.00753,0.00441,0.00973,0.00017,104,2022/10/16
The Washington Times,0.01526,0.00004,0.00028,0.00270,0.00432,0.00110,0.00010,41,2022/10/16
Washington Examiner,0.04501,0.00008,0.00054,0.01508,0.01868,0.00259,0.00031,66,2022/10/16
