name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.02977,0.00015,0.00099,0.01359,0.00512,0.00512,0.00017,12.0,46.0,42.0,50,2022/10/14
BBC,0.02251,0.00013,0.00114,0.00206,0.00422,0.00554,0.00029,6.977,51.16,41.86,43,2022/10/14
Fox News,0.02542,0.00008,0.00050,0.00084,0.01140,0.00460,0.00240,13.5,36.2,50.31,163,2022/10/14
NBC News,0.04407,0.00040,0.00114,0.02741,0.00416,0.00330,0.00223,13.04,27.54,59.42,69,2022/10/14
New York Post,0.05590,0.00015,0.00093,0.00083,0.01404,0.02493,0.00093,10.26,28.21,61.54,39,2022/10/14
Newsmax,0.01857,0.00005,0.00036,0.00095,0.01354,0.00052,0.00005,6.0,38.0,56.0,50,2022/10/14
Newsweek,0.04583,0.00027,0.00828,0.01158,0.01287,0.00359,0.00372,9.91,45.05,45.05,111,2022/10/14
One America News Network (OAN),0.01752,0.00009,0.00058,0.00034,0.00110,0.00641,0.00309,13.89,52.78,33.33,36,2022/10/14
Reuters,0.00301,0.00007,0.00042,0.00038,0.00052,0.00115,0.00005,13.89,44.44,41.67,36,2022/10/14
The Epoch Times,0.01111,0.00012,0.00091,0.00239,0.00156,0.00267,0.00017,10.28,57.94,31.78,107,2022/10/14
The Guardian (US),0.05409,0.00057,0.02613,0.00221,0.03157,0.00127,0.01283,10.78,35.29,53.92,102,2022/10/14
The Hill,0.01693,0.00006,0.00041,0.00061,0.00110,0.00741,0.00052,0.00000,51.16,48.84,43,2022/10/14
The New York Times,0.02675,0.00006,0.00046,0.00050,0.01613,0.00211,0.00009,7.463,52.24,40.3,67,2022/10/14
The Wall Street Journal,0.00827,0.00007,0.00040,0.00075,0.00059,0.00348,0.00008,10.45,65.67,23.88,67,2022/10/14
The Washington Post,0.03419,0.00006,0.00088,0.00075,0.02448,0.00030,0.00049,16.82,43.93,39.25,107,2022/10/14
The Washington Times,0.04878,0.00016,0.00084,0.01613,0.01048,0.00481,0.00136,0.00000,30.3,69.7,33,2022/10/14
Washington Examiner,0.05157,0.00013,0.00068,0.02095,0.01154,0.00743,0.00036,3.125,34.38,62.5,64,2022/10/14
