name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.02171,0.00008,0.00031,0.00425,0.00116,0.00181,0.00313,50,2022/10/01
BBC,0.02124,0.00012,0.00101,0.00387,0.00565,0.00058,0.00040,47,2022/10/01
Fox News,0.01368,0.00008,0.00049,0.00067,0.00698,0.00030,0.00468,171,2022/10/01
NBC News,0.04022,0.00016,0.00083,0.01578,0.00908,0.00544,0.00056,57,2022/10/01
New York Post,0.04576,0.00016,0.00214,0.00177,0.00715,0.00311,0.01890,43,2022/10/01
Newsmax,0.02500,0.00022,0.00155,0.01314,0.00474,0.00039,0.00030,49,2022/10/01
Newsweek,0.00960,0.00008,0.00045,0.00307,0.00168,0.00103,0.00013,80,2022/10/01
One America News Network (OAN),0.00398,0.00013,0.00089,0.00173,0.00105,0.00018,0.00007,36,2022/10/01
Reuters,0.00596,0.00006,0.00035,0.00034,0.00056,0.00231,0.00016,33,2022/10/01
The Epoch Times,0.01547,0.00019,0.00145,0.00563,0.00834,0.00027,0.00017,104,2022/10/01
The Guardian (US),0.01900,0.00014,0.00095,0.00484,0.00657,0.00174,0.00206,94,2022/10/01
The Hill,0.03059,0.00030,0.00050,0.01312,0.00171,0.00734,0.00352,46,2022/10/01
The New York Times,0.00927,0.00012,0.00077,0.00100,0.00164,0.00265,0.00117,70,2022/10/01
The Wall Street Journal,0.00113,0.00006,0.00035,0.00021,0.00054,0.00013,0.00006,66,2022/10/01
The Washington Post,0.01802,0.00007,0.00041,0.00689,0.00414,0.00172,0.00022,115,2022/10/01
The Washington Times,0.00584,0.00004,0.00023,0.00162,0.00095,0.00023,0.00010,37,2022/10/01
Washington Examiner,0.03737,0.00009,0.00057,0.00889,0.01788,0.00126,0.00978,65,2022/10/01
