name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.00672,0.00007,0.00051,0.00057,0.00144,0.00040,0.00030,50,2022/10/08
BBC,0.00769,0.00007,0.00054,0.00126,0.00106,0.00188,0.00037,47,2022/10/08
Fox News,0.02010,0.00008,0.00126,0.00222,0.01075,0.00064,0.00110,159,2022/10/08
NBC News,0.04603,0.00008,0.00049,0.02185,0.00672,0.00366,0.00074,67,2022/10/08
New York Post,0.01938,0.00008,0.00070,0.00047,0.00487,0.00259,0.00021,40,2022/10/08
Newsmax,0.01453,0.00012,0.00068,0.00078,0.00087,0.00864,0.00035,50,2022/10/08
Newsweek,0.01504,0.00012,0.00075,0.00148,0.00296,0.00264,0.00016,88,2022/10/08
One America News Network (OAN),0.00082,0.00011,0.00077,0.00025,0.00075,0.00010,0.00005,36,2022/10/08
Reuters,0.04734,0.00012,0.00045,0.00733,0.00234,0.01485,0.00680,26,2022/10/08
The Epoch Times,0.00453,0.00024,0.00163,0.00095,0.00179,0.00052,0.00016,102,2022/10/08
The Guardian (US),0.03775,0.00021,0.00090,0.00471,0.00896,0.01845,0.00044,100,2022/10/08
The Hill,0.00306,0.00004,0.00026,0.00049,0.00096,0.00036,0.00015,46,2022/10/08
The New York Times,0.02038,0.00011,0.00069,0.00628,0.00792,0.00027,0.00242,66,2022/10/08
The Wall Street Journal,0.00886,0.00005,0.00031,0.00054,0.00044,0.00025,0.00543,68,2022/10/08
The Washington Post,0.02955,0.00006,0.00039,0.00827,0.01264,0.00441,0.00013,115,2022/10/08
The Washington Times,0.02115,0.00005,0.00032,0.00040,0.01027,0.00470,0.00011,37,2022/10/08
Washington Examiner,0.02199,0.00009,0.00042,0.00649,0.00251,0.00826,0.00028,65,2022/10/08
