name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.01936,0.00011,0.00110,0.00051,0.00601,0.00125,0.00069,7.895,39.47,52.63,38,2022/02/02
BBC,0.03590,0.00017,0.00132,0.00973,0.02543,0.00075,0.00019,12.0,48.0,40.0,50,2022/02/02
Fox News,0.02852,0.00008,0.00136,0.00177,0.02106,0.00051,0.00024,14.88,47.93,37.19,121,2022/02/02
NBC News,0.04747,0.00017,0.00117,0.03165,0.00742,0.00111,0.00065,10.45,32.84,56.72,67,2022/02/02
New York Post,0.05795,0.00011,0.00091,0.00108,0.01355,0.00132,0.01902,17.24,31.03,51.72,29,2022/02/02
Newsmax,0.04519,0.00014,0.00086,0.00506,0.02979,0.00176,0.00011,5.263,36.84,57.89,38,2022/02/02
Newsweek,0.01613,0.00015,0.00067,0.00254,0.00399,0.00257,0.00036,7.767,50.49,41.75,103,2022/02/02
One America News Network (OAN),0.00505,0.00005,0.00031,0.00057,0.00375,0.00011,0.00004,4.0,56.0,40.0,25,2022/02/02
Reuters,0.00595,0.00005,0.00034,0.00211,0.00075,0.00037,0.00013,20.0,40.0,40.0,5,2022/02/02
The Epoch Times,0.00796,0.00010,0.00083,0.00038,0.00387,0.00023,0.00027,11.82,50.91,37.27,110,2022/02/02
The Guardian (US),0.05679,0.00025,0.00146,0.01963,0.01075,0.00437,0.02259,12.63,30.53,56.84,95,2022/02/02
The Hill,0.00397,0.00004,0.00049,0.00021,0.00125,0.00052,0.00017,6.667,23.33,70.0,30,2022/02/02
The New York Times,0.02674,0.00016,0.00128,0.00621,0.00620,0.00209,0.00462,10.61,65.15,24.24,66,2022/02/02
The Wall Street Journal,0.00416,0.00010,0.00071,0.00229,0.00086,0.00017,0.00007,12.5,65.62,21.88,64,2022/02/02
The Washington Post,0.01550,0.00006,0.00044,0.00222,0.00926,0.00022,0.00011,8.85,51.33,39.82,113,2022/02/02
The Washington Times,0.04723,0.00022,0.00117,0.01571,0.01858,0.00027,0.00033,11.11,25.93,62.96,27,2022/02/02
Washington Examiner,0.02610,0.00007,0.00038,0.00207,0.01727,0.00056,0.00059,3.03,33.33,63.64,66,2022/02/02
