name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.01380,0.00016,0.00082,0.00324,0.00346,0.00201,0.00036,0.00000,29.27,70.73,41,2022/02/24
BBC,0.02928,0.00014,0.00082,0.01263,0.00331,0.00924,0.00017,10.2,44.9,44.9,49,2022/02/24
Fox News,0.02021,0.00010,0.00062,0.00559,0.00240,0.00080,0.00963,16.26,41.46,42.28,123,2022/02/24
NBC News,0.03623,0.00014,0.00074,0.01208,0.00216,0.00057,0.01139,4.478,26.87,68.66,67,2022/02/24
New York Post,0.08243,0.00015,0.00132,0.00243,0.01800,0.01238,0.01942,18.75,21.88,59.38,32,2022/02/24
Newsmax,0.03851,0.00018,0.00138,0.00193,0.00640,0.01192,0.00301,0.00000,37.84,62.16,37,2022/02/24
Newsweek,0.01364,0.00009,0.00065,0.00203,0.00617,0.00046,0.00011,7.407,43.21,49.38,81,2022/02/24
One America News Network (OAN),0.02031,0.00009,0.00162,0.00033,0.00728,0.00221,0.00072,16.0,28.0,56.0,25,2022/02/24
Reuters,0.03448,0.00013,0.00062,0.00266,0.00093,0.00933,0.00527,8.571,34.29,57.14,35,2022/02/24
The Epoch Times,0.00476,0.00011,0.00067,0.00119,0.00182,0.00023,0.00009,10.38,50.94,38.68,106,2022/02/24
The Guardian (US),0.03635,0.00013,0.00067,0.00695,0.01502,0.00159,0.00785,17.0,27.0,56.0,100,2022/02/24
The Hill,0.00283,0.00004,0.00025,0.00027,0.00067,0.00053,0.00006,6.667,30.0,63.33,30,2022/02/24
The New York Times,0.02488,0.00015,0.00160,0.00826,0.00546,0.00073,0.00111,7.576,62.12,30.3,66,2022/02/24
The Wall Street Journal,0.02457,0.00008,0.00086,0.00533,0.01495,0.00036,0.00009,9.859,49.3,40.85,71,2022/02/24
The Washington Post,0.00767,0.00006,0.00028,0.00294,0.00142,0.00094,0.00021,13.39,31.25,55.36,112,2022/02/24
The Washington Times,0.03251,0.00006,0.00032,0.00291,0.00233,0.00730,0.00024,6.667,23.33,70.0,30,2022/02/24
Washington Examiner,0.02550,0.00007,0.00783,0.00069,0.01541,0.00067,0.00019,6.061,36.36,57.58,66,2022/02/24
