name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.00645,0.00010,0.00089,0.00233,0.00131,0.00023,0.00010,36,2022/02/09
BBC,0.03073,0.00016,0.00081,0.01047,0.00972,0.00129,0.01012,50,2022/02/09
Fox News,0.03104,0.00019,0.00241,0.00241,0.01220,0.00051,0.00595,120,2022/02/09
NBC News,0.04359,0.00022,0.00144,0.02145,0.00382,0.00075,0.00876,63,2022/02/09
New York Post,0.10291,0.00042,0.00328,0.00877,0.00959,0.00626,0.03513,30,2022/02/09
Newsmax,0.02710,0.00014,0.00075,0.01805,0.00467,0.00047,0.00116,38,2022/02/09
Newsweek,0.03684,0.00015,0.00096,0.01278,0.01461,0.00236,0.00169,105,2022/02/09
One America News Network (OAN),0.00098,0.00009,0.00075,0.00028,0.00094,0.00008,0.00006,25,2022/02/09
Reuters,0.00877,0.00004,0.00023,0.00066,0.00352,0.00135,0.00006,44,2022/02/09
The Epoch Times,0.00343,0.00011,0.00080,0.00032,0.00183,0.00038,0.00008,104,2022/02/09
The Guardian (US),0.04046,0.00029,0.00177,0.00849,0.01267,0.00327,0.01218,95,2022/02/09
The Hill,0.00539,0.00004,0.00027,0.00022,0.00138,0.00046,0.00052,30,2022/02/09
The New York Times,0.02416,0.00020,0.00455,0.01070,0.00254,0.00081,0.00031,74,2022/02/09
The Wall Street Journal,0.01490,0.00015,0.00090,0.00031,0.00088,0.00016,0.01302,66,2022/02/09
The Washington Post,0.01742,0.00006,0.00040,0.00272,0.00445,0.00150,0.00065,115,2022/02/09
The Washington Times,0.02251,0.00012,0.00043,0.01981,0.00340,0.00027,0.00023,28,2022/02/09
Washington Examiner,0.01377,0.00006,0.00032,0.00086,0.00103,0.00689,0.00008,65,2022/02/09
