name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count
Fox News,0.02325,0.00010,0.00162,0.00323,0.00784,0.00177,0.00242,16.69,37.55,45.76,31
NBC News,0.02865,0.00018,0.00056,0.01439,0.00470,0.00213,0.00172,16.14,34.59,49.27,31
New York Post,0.06194,0.00039,0.01042,0.00693,0.02021,0.00402,0.01314,16.33,30.19,53.48,31
Newsmax,0.02183,0.00018,0.00107,0.00930,0.00344,0.00300,0.00117,5.08,46.6,48.31,31
One America News Network (OAN),0.01665,0.00011,0.00221,0.00350,0.00412,0.00059,0.00167,15.2,44.77,40.03,31
The Epoch Times,0.01091,0.00012,0.00123,0.00224,0.00319,0.00081,0.00073,9.508,53.11,37.38,31
The Hill,0.01958,0.00007,0.00104,0.00278,0.00677,0.00456,0.00039,6.294,39.27,54.44,31
The Wall Street Journal,0.00790,0.00007,0.00110,0.00181,0.00271,0.00039,0.00044,16.34,58.07,25.59,26
The Washington Times,0.03068,0.00013,0.00075,0.01208,0.00616,0.00488,0.00112,13.91,40.98,45.11,13
Washington Examiner,0.01241,0.00012,0.00089,0.00394,0.00370,0.00128,0.00028,5.649,64.66,29.69,31
