name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.02748,0.00013,0.00071,0.00696,0.00155,0.00828,0.00019,49,2022/07/11
BBC,0.01846,0.00008,0.00200,0.00200,0.00572,0.00257,0.00017,49,2022/07/11
Fox News,0.01721,0.00007,0.00061,0.00233,0.00517,0.00083,0.00328,165,2022/07/11
NBC News,0.03551,0.00020,0.00075,0.01365,0.00767,0.00771,0.00062,58,2022/07/11
New York Post,0.04893,0.00118,0.02864,0.00200,0.01186,0.00170,0.01712,42,2022/07/11
Newsmax,0.02253,0.00016,0.00102,0.00165,0.00442,0.01060,0.00013,38,2022/07/11
Newsweek,0.01004,0.00012,0.00101,0.00062,0.00437,0.00101,0.00031,86,2022/07/11
One America News Network (OAN),0.00626,0.00016,0.00132,0.00083,0.00148,0.00057,0.00011,28,2022/07/11
Reuters,0.00448,0.00009,0.00069,0.00048,0.00146,0.00029,0.00014,31,2022/07/11
The Epoch Times,0.00287,0.00018,0.00106,0.00040,0.00180,0.00024,0.00014,102,2022/07/11
The Guardian (US),0.04080,0.00011,0.00682,0.00737,0.01491,0.00046,0.00212,102,2022/07/11
The Hill,0.00544,0.00005,0.00044,0.00016,0.00380,0.00009,0.00008,43,2022/07/11
The New York Times,0.00867,0.00010,0.00080,0.00052,0.00351,0.00050,0.00042,64,2022/07/11
The Wall Street Journal,0.01093,0.00006,0.00041,0.00060,0.00353,0.00178,0.00006,67,2022/07/11
The Washington Post,0.02527,0.00008,0.00065,0.00703,0.01092,0.00217,0.00023,105,2022/07/11
The Washington Times,0.00243,0.00008,0.00056,0.00055,0.00082,0.00020,0.00009,37,2022/07/11
Washington Examiner,0.01753,0.00006,0.00033,0.00073,0.00222,0.00657,0.00059,64,2022/07/11
