newspaper,language,date,url,text,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative
Fox News,en,2026-09-15T16:22:29.527223+00:00,https://www.foxnews.com/world/nato-jets-shoot-down-drone-lithuanian-airspace-russia-grows-increasingly-reckless-rutte-says,NATO jets blast suspected explosive-laden intruder in historic Baltic first,0.000842,0.000040,0.000189,0.000211,0.000247,0.000091,0.000031,0.000000,0.000000,100.000000
Fox News,en,2026-09-15T16:22:29.527223+00:00,https://www.foxnews.com/world/irans-regime-came-teenage-twins-fate-offers-glimpse-tehrans-widening-death-campaign,"Iranian sisters dragged from beds now face execution after torture by regime, family says",0.016630,0.000092,0.000407,0.004768,0.000930,0.001376,0.000589,0.000000,0.000000,100.000000
Fox News,en,2026-09-15T16:22:29.527223+00:00,https://www.foxnews.com/food-drink/roaches-caught-crawling-across-popular-steakhouses-kitchen-floor-viral-employee-video,Popular steakhouse chain responds after employee takes video of disturbing conditions,0.000760,0.000027,0.000229,0.000095,0.000221,0.000049,0.000035,0.000000,0.000000,100.000000
Fox News,en,2026-09-15T16:22:29.527223+00:00,https://www.foxnews.com/us/lindsay-clancy-judge-indefinitely-impounds-juror-names-citing-safety-divisive-attention,Lindsay Clancy judge confronts juror doxxing with indefinite name blackout,0.025670,0.000120,0.002057,0.001055,0.006266,0.000286,0.000222,0.000000,0.000000,100.000000
Fox News,en,2026-09-15T16:22:29.527223+00:00,https://www.foxnews.com/politics/trump-blasts-supreme-court-disaster-justices-rule-against-mail-voting,Trump warns SCOTUS rejection 'will likely cost me dearly' after stunning rebuke,0.003563,0.000026,0.000285,0.000107,0.000941,0.000102,0.000071,0.000000,0.000000,100.000000
Fox News,en,2026-09-15T16:22:29.527223+00:00,https://www.foxnews.com/us/army-veteran-paratrooper-deployed-iraq-afghanistan-helping-rescue-fox-news-reporter-dead-50,Army vet who rescued Fox News' Benjamin Hall from Kyiv dies at just 50,0.004095,0.000051,0.000282,0.000216,0.000538,0.000732,0.000046,0.000000,0.000000,100.000000
Fox News,en,2026-09-15T16:22:29.527223+00:00,https://www.foxnews.com/video/6405056425112,Newt Gingrich warns the 2026 midterms will shock America,0.000713,0.000021,0.000112,0.000130,0.000220,0.000038,0.000021,0.000000,0.000000,100.000000
Fox News,en,2026-09-15T16:22:29.527223+00:00,https://www.foxnews.com/politics/smithsonian-move-reignites-woke-marxist-criticism-latino-museum-avoids-congressional-approval,Firestorm erupts over Smithsonian's newest location for controversial museum,0.000737,0.000038,0.000250,0.000142,0.000341,0.000072,0.000029,0.000000,0.000000,100.000000
Fox News,en,2026-09-15T16:22:29.527223+00:00,https://www.foxnews.com/opinion/liz-peek-ai-alarm-bells-ringing-trump-needs-take-seriously,Tech insiders are terrified of the monster they just built — and it's time to act,0.019522,0.000014,0.000118,0.000168,0.008450,0.000175,0.000029,0.000000,0.000000,100.000000
Fox News,en,2026-09-15T16:22:29.527223+00:00,https://www.foxnews.com/video/6405082876112,WATCH LIVE: FBI Director Kash Patel confronts lawmakers in high-profile oversight hearing,0.000605,0.000025,0.000189,0.000090,0.000293,0.000038,0.000028,0.000000,100.000000,0.000000
Fox News,en,2026-09-15T16:22:29.527223+00:00,https://www.foxnews.com/politics/newsom-roasted-online-staged-fly-fishing-interview-cnn-anchor-dropped-major-2028-hint,Newsom ruthlessly mocked online after fly-fishing stunt with CNN host backfires,0.002132,0.000023,0.000199,0.000142,0.000565,0.000066,0.000028,0.000000,0.000000,100.000000
Fox News,en,2026-09-15T16:22:29.527223+00:00,https://www.foxnews.com/entertainment/nick-reiner-wont-face-death-penalty-rob-michele-reiner-murder-case,Nick Reiner avoids death penalty as DA makes call in parents' murder case,0.011487,0.000070,0.000249,0.000343,0.000392,0.003006,0.000220,0.000000,0.000000,100.000000
Fox News,en,2026-09-15T16:22:29.527223+00:00,https://www.foxnews.com/politics/still-waiting-doge-check-battleground-state-voters-cast-doubt-trumps-new-5k-promise,Voters in one of America's poorest cities push back hard on the $5K promise,0.000832,0.000013,0.000088,0.000094,0.000285,0.000029,0.000016,0.000000,100.000000,0.000000
Fox News,en,2026-09-15T16:22:29.527223+00:00,https://www.foxnews.com/video/6405087095112,State targets the job prospects of former ICE agents with bill named after vulgar acronym,0.006479,0.000022,0.000206,0.000238,0.001333,0.000091,0.000071,0.000000,0.000000,100.000000
Fox News,en,2026-09-15T16:22:29.527223+00:00,https://www.foxnews.com/media/joe-manchin-calls-trump-freeze-ai-ipos-claims-president-power-save-humanity,Manchin urges Trump to freeze AI IPOs to 'save humanity' before it's too late,0.000710,0.000025,0.000117,0.000128,0.000179,0.000053,0.000022,0.000000,0.000000,100.000000
