newspaper,language,date,url,text,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/politics/democrats-reluctantly-hand-trump-major-victory-key-program-targeting-tim-walz,Top Dems begrudgingly hand Trump a win on fraud program targeting gov in their own party,0.002540,0.000011,0.000089,0.000103,0.001125,0.000023,0.000016,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/outkick-sports/womens-sports-bars-hypocrisy-disavows-very-thing-meant-support-matt-calkins,"Portland establishment ousts customers over attire, then a deeper look gets ugly",0.013230,0.000035,0.001135,0.000192,0.004348,0.000108,0.000186,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/opinion/scammers-coming-your-money-one-thing-you-must-never-do,Scammers are coming for your money. Here’s the one thing you must never do,0.031793,0.000033,0.001070,0.000355,0.017441,0.000175,0.000076,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/us/texas-man-killed-3-2005-burglary-executed-warden-asks-last-words,Warden asks Texas death row inmate for final statement moments before lethal injection,0.114049,0.000192,0.000564,0.001206,0.004156,0.064085,0.000351,0.000000,100.000000,0.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/outkick-sports/lane-kiffin-daughter-disgusted-vulgar-bed-sheet-banners-accusing-sex-player,Lane Kiffin's daughter disgusted by 'vulgar' bed sheet banners around campus,0.148383,0.000053,0.001993,0.000954,0.091637,0.000135,0.000743,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/travel/faint-signal-leads-treasure-hunters-massive-discovery-legendary-400-year-old-wreck,Treasure hunters following a trail of coins uncover massive object beneath the seafloor,0.000782,0.000021,0.000113,0.000104,0.000206,0.000053,0.000022,0.000000,100.000000,0.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/us/san-diego-bystanders-chase-down-suspected-tesla-thief-woman-struck-boardwalk,WATCH: Hit-and-run suspect tries to flee before bystanders take matters into their own hands,0.005203,0.000046,0.000285,0.000122,0.000542,0.001066,0.000091,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/outkick-sports/robert-kraft-pledges-2m-humanitarian-aid-macklemore-faces-fallout-venue-ban,Kraft outwits Macklemore with massive pledge before rapper could weaponize the challenge,0.004923,0.000022,0.000218,0.000095,0.001781,0.000117,0.000047,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/us/pope-leo-xiv-receives-symbolic-sphere-charity-push-ai-protect-human-dignity,"Pope pushed into tech debate, receives unique artwork to 'protect human dignity'",0.000764,0.000037,0.000175,0.000163,0.000286,0.000039,0.000050,100.000000,0.000000,0.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/politics/former-gop-whip-arizona-sen-jon-kyl-dead-84,"Former GOP whip, Arizona Sen Jon Kyl dead at 84",0.003655,0.000034,0.000261,0.000187,0.000611,0.000164,0.000031,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/live-news/iran-war-trump-talks-oil-gas-prices-midterms-09-17-26,"China hits back at sweeping bill named after late senator that would target Iran, Russia",0.003460,0.000023,0.000188,0.000348,0.000615,0.000113,0.000034,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/entertainment/double-lives-star-says-being-kicked-out-church-over-adult-content-career-didnt-shake-her-faith,Reality star chose to 'forgive' after being kicked out of church over adult content,0.002047,0.000034,0.000205,0.000411,0.000400,0.000063,0.000085,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/politics/powerful-teachers-unions-share-striking-link-states-struggling-teach-kids-read,"States falling behind in literacy share a striking common thread, new analysis finds",0.000991,0.000018,0.000137,0.000143,0.000384,0.000035,0.000026,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/video/6405189154112,Dashcam captures horrifying moment news chopper plunges from sky in Los Angeles,0.002251,0.000020,0.000274,0.000122,0.000984,0.000041,0.000029,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/us/idaho-prosecutors-accuse-bryan-kohberger-fishing-find-better-arguments-bid-withdraw-guilty-plea,Prosecutors ask judge to sink Bryan Kohberger's 'fishing expedition',0.003482,0.000046,0.000295,0.000187,0.000498,0.000574,0.000109,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/travel/cruise-vacation-takes-frightening-turn-passenger-airlifted-ship,Terrifying medical emergency on popular cruise line prompts airlifting evacuation,0.001400,0.000043,0.000224,0.000166,0.000231,0.000250,0.000041,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/food-drink/man-says-meat-only-lion-diet-cleared-psoriasis-covering-90-his-body-ended-decades-depression,Man says 'lion diet' wiped out decades of depression and inflammation,0.004604,0.000195,0.000461,0.000899,0.002143,0.000592,0.000351,0.000000,100.000000,0.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxweather.com/earth-space/us-beaches-home-most-venomous-snakes,Popular US beaches are secretly crawling with some of the most venomous snakes,0.010893,0.000033,0.000711,0.000226,0.005351,0.000098,0.000089,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/outkick-sports/bill-belichick-son-resigns-north-carolina-defensive-coordinator-investigation-culture-closes,Bill Belichick's son steps down as UNC defensive coordinator as investigation wraps,0.001331,0.000016,0.000147,0.000080,0.000606,0.000039,0.000026,0.000000,100.000000,0.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxweather.com/earth-space/strong-earthquake-strikes-offshore-of-southwest-alaska-pacififc-ring-of-fire,Strong earthquake strikes near Alaska along volatile Pacific Ring of Fire,0.000595,0.000052,0.000286,0.000153,0.000211,0.000096,0.000039,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/politics/scandal-rocks-utah-campus-student-celebrated-charlie-kirk-death-sparks-online-firestorm,Viral fury erupts after student celebrating Charlie Kirk's death sends campus into chaos,0.017292,0.000036,0.000181,0.000604,0.001229,0.001003,0.000055,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/deals/amazon-biggest-discounts-this-week,"A $6 iPhone 18 case, a $37 heated blanket and more Amazon deals at 40% off or more",0.000299,0.000029,0.000145,0.000088,0.000166,0.000041,0.000023,0.000000,100.000000,0.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/politics/historic-newspaper-gives-el-sayed-savage-rebuke-hiding-his-past-while-endorsing-his-opponent,Historic newspaper gives El-Sayed a savage rebuke for hiding his past while endorsing his opponent,0.049585,0.000029,0.000766,0.000205,0.035007,0.000101,0.000096,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxbusiness.com/fox-news-tech/nvidia-ceo-jensen-huang-ai-chip-sales-growth,Nvidia CEO Jensen Huang draws the line on artificial intelligence safety,0.000253,0.000228,0.001698,0.000424,0.001136,0.000144,0.000113,0.000000,100.000000,0.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/health/champion-athlete-soils-herself-mid-race-keeps-going-prompting-fitness-competition-change-rules,Fitness competition changes rules after winner’s bathroom accident sparks controversy,0.000584,0.000026,0.000182,0.000113,0.000208,0.000053,0.000032,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/outkick/netflix-drops-first-trailer-sacrifice-starring-chris-evans-anya-taylor-joy-new-thriller,Netflix releases preview for new thriller featuring a stacked cast,0.000521,0.000036,0.000251,0.000127,0.000277,0.000052,0.000030,0.000000,100.000000,0.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/deals/kate-spade-outlet-sale,"Kate Spade Outlet's fall sale is here — save up to 76%, with styles from $26",0.000341,0.000028,0.000145,0.000095,0.000175,0.000038,0.000024,100.000000,0.000000,0.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/video/6405161963112,World-renowned economist skeptical on Trump’s cash promises to adult Americans,0.002137,0.000010,0.000086,0.000103,0.000833,0.000018,0.000021,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/video/6405195294112,"International athletes 'taking over' college rosters, tennis legend warns",0.002045,0.000029,0.000262,0.000369,0.000384,0.000056,0.000065,0.000000,100.000000,0.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/video/6405197333112,Senate blocks Kennedy's AI 'kill switch' bill,0.016267,0.000099,0.000324,0.000635,0.000474,0.006779,0.000133,0.000000,100.000000,0.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/video/6405192414112,"Kevin McCarthy analyzes voter enthusiasm, economy ahead of midterms",0.000500,0.000020,0.000123,0.000086,0.000214,0.000033,0.000022,100.000000,0.000000,0.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/video/6405193523112,Trainer has blunt message for female fitness influencers shaming Sydney Sweeney,0.035358,0.000083,0.000981,0.004726,0.008403,0.000246,0.000722,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/video/6405162855112,Conservative group unveils affordability blueprint for Congress,0.000437,0.000025,0.000137,0.000094,0.000197,0.000039,0.000025,100.000000,0.000000,0.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/video/6405185967112,Citizens chase down suspected Tesla thief who allegedly barreled through pedestrians,0.046909,0.000021,0.000268,0.000370,0.028836,0.000091,0.000054,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/video/6405183686112,Mamdani deploys high-tech public toilets across NYC — but it comes with a catch,0.000896,0.000024,0.000198,0.000110,0.000348,0.000050,0.000027,0.000000,100.000000,0.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/video/6405183536112,Trump vows war with Iran is almost finished,0.020580,0.000064,0.000345,0.002669,0.000622,0.001500,0.000132,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/video/6405184526112,Gen Z seeing 'retreat from marriage' as single young men surge,0.000879,0.000073,0.000302,0.000310,0.000331,0.000128,0.000130,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/politics/republicans-powerful-new-playbook-battle-congress-whats-inside,"Conservative org says Vance's childcare plan is a '$9,000 divorce bonus'",0.000419,0.000019,0.000107,0.000094,0.000165,0.000031,0.000023,0.000000,100.000000,0.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/lifestyle/american-culture-quiz-test-yourself-gridiron-grazing-silver-screen-secrets,"American Culture Quiz: Test yourself on gridiron grazing, silver-screen secrets and more",0.001725,0.000036,0.000330,0.000212,0.000535,0.000093,0.000045,0.000000,100.000000,0.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/us/los-angeles-nbc-helicopter-plummeting-ground-dashcam-video,"Alarm heard inside aircraft before fatal plunge, NTSB investigators reveal",0.000853,0.000033,0.000200,0.000123,0.000236,0.000107,0.000030,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/politics/fraud-mastermind-multi-million-dollar-ponzi-scheme-victimized-travis-kelce-illegal-immigrant,Illegal immigrant ran 'massive' Ponzi scheme that nabbed Travis Kelce as a victim,0.101087,0.000035,0.000517,0.017884,0.017468,0.000205,0.000060,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.youtube.com/watch?v=fozF1gn6F6k,Tim Scott reveals to Hannity why he fights for the American Dream,0.000463,0.000025,0.000181,0.000095,0.000226,0.000038,0.000025,100.000000,0.000000,0.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/outkick/attorney-reveals-lane-kiffin-used-chatgpt-legal-advice-lsu-failed-bid-add-pro-players,Explosive report alleges Lane Kiffin had wild strategy for LSU trying to add pro players,0.000430,0.000023,0.000137,0.000099,0.000235,0.000034,0.000020,0.000000,100.000000,0.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/travel/vacation-paradise-attack-officials-suspect-arsonists-behind-inferno,Coordinated arson attack suspected as nightmare fires grip vacation paradise,0.040152,0.000216,0.000833,0.000396,0.001524,0.024739,0.000568,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/politics/federal-judge-ties-ice-agents-hands-ruling-warrantless-southern-california-arrests,Federal judge issues preliminary injunction barring some warrantless immigration arrests,0.000650,0.000020,0.000111,0.000118,0.000253,0.000043,0.000019,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/politics/trumps-5k-checks-could-join-stack-past-unfulfilled-promises-former-congress-budget-chief-warns,Is the American Dream dead? Top economist reveals what Trump's cash promises really mean,0.000709,0.000015,0.000109,0.000085,0.000275,0.000025,0.000017,0.000000,0.000000,100.000000
Fox News,en,2026-09-17T16:20:55.540062+00:00,https://www.foxnews.com/world/family-member-lawyer-who-coined-genocide-seeks-strip-name-from-group-accusing-israel-atrocity,Relative of man who coined 'genocide' seeks to strip name from group over Israel claims,0.003090,0.000128,0.000435,0.001100,0.000872,0.000248,0.000236,0.000000,0.000000,100.000000
