newspaper,language,date,url,text,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/entertainment/hayden-panettiere-cause-death-revealed,Hayden Panettiere cause of death revealed one month after actress' passing,0.001059,0.000229,0.001887,0.000324,0.000895,0.000232,0.000726,0.000000,100.000000,0.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/politics/fox-news-power-rankings-democrats-where-could-go-wrong,Democrats riding toward a blue wave — but three wild cards could sink it,0.005350,0.000029,0.000205,0.000322,0.000914,0.000399,0.000045,0.000000,0.000000,100.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/us/texas-prosecutors-take-death-penalty-off-table-man-accused-murdering-wife-fleeing-italy,Accused wife-killer escapes death penalty after fleeing to a country with no execution,0.168050,0.000256,0.002238,0.001121,0.014095,0.004851,0.018454,0.000000,0.000000,100.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/politics/socialist-communist-groups-coordinate-promote-spontaneous-anti-ice-protests-austin,Media calls Austin protests 'spontaneous' but Fox News Digital probe reveals who coordinated it,0.000435,0.000023,0.000167,0.000086,0.000259,0.000031,0.000022,0.000000,0.000000,100.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/media/the-view-host-sunny-hostin-claims-children-experienced-racism-private-schools,'The View' co-host weighs in after 1619 Project founder's stunning education admission,0.000392,0.000020,0.000116,0.000078,0.000192,0.000029,0.000021,100.000000,0.000000,0.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/opinion/chicago-half-empty-schools-reveal-crisis-city-leaders-refuse-confront,Chicago's empty schools tell a devastating story about what's gone wrong in education,0.001832,0.000014,0.000116,0.000135,0.000724,0.000030,0.000016,0.000000,0.000000,100.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/travel/one-historys-most-famous-sayings-about-rome-may-wrong-new-study-suggests,Legendary saying about ancient Rome challenged by sweeping new study,0.000426,0.000045,0.000252,0.000126,0.000246,0.000065,0.000032,0.000000,100.000000,0.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/entertainment/sylvester-stallone-reveals-what-he-said-trump-after-surprise-hollywood-ambassador-appointment,Sylvester Stallone says Trump’s Hollywood ambassador role was ‘impossible’,0.001391,0.000013,0.000139,0.000090,0.000615,0.000019,0.000019,0.000000,0.000000,100.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/politics/anxiety-grows-over-emerging-election-issue-gop-says-washington-isnt-answer,"GOP warns booming industry is hitting Americans' wallets, but Washington isn't the fix",0.000642,0.000021,0.000109,0.000130,0.000201,0.000042,0.000020,0.000000,0.000000,100.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/video/6405431269112,"WATCH LIVE: Nolan Wells' family, Ben Crump call for probe to stay open after grand jury ruling",0.000422,0.000020,0.000115,0.000077,0.000183,0.000032,0.000024,0.000000,100.000000,0.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/entertainment/presley-gerber-dead-27-cindy-crawford-rande-gerber-family,"Inside Presley Gerber's famous family, from Cindy Crawford to sister Kaia Gerber",0.001532,0.000086,0.001259,0.000236,0.003946,0.000045,0.000074,0.000000,100.000000,0.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/outkick-sports/jerry-jones-issues-dangerous-warning-cowboys-topple-commanders-dak-prescott-historic-day,Billionaire NFL owner issues 'dangerous' warning after Cowboys' win over rival,0.000733,0.000018,0.000158,0.000092,0.000274,0.000034,0.000023,0.000000,0.000000,100.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/video/6405384885112,Karoline Leavitt reveals what they don't tell you about the White House,0.001910,0.000038,0.000207,0.000341,0.000565,0.000040,0.000030,0.000000,100.000000,0.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/video/6405412951112,Dems slam new controversial air traffic control tool to cut flight delays,0.001072,0.000023,0.000125,0.000193,0.000218,0.000062,0.000022,100.000000,0.000000,0.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/politics/trump-flexes-american-power-un-warnings-rivals-around-globe,'No global government’: Trump delivers UN warning on what America won’t accept,0.000649,0.000017,0.000106,0.000096,0.000231,0.000029,0.000018,0.000000,0.000000,100.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/politics/george-w-bush-raises-money-republicans-not-key-senate-candidate,Bush raises money for Senate races but not the man who beat his nephew,0.011939,0.000096,0.000459,0.000773,0.007525,0.000231,0.000194,0.000000,0.000000,100.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/media/billy-bush-joins-fox-news-media-contributor-debut-jesse-watters-primetime,"Billy Bush joins Fox News as contributor, set to debut on 'Jesse Watters Primetime'",0.000343,0.000042,0.000279,0.000117,0.000308,0.000050,0.000033,0.000000,100.000000,0.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/us/mississippi-grand-jury-declines-indict-anyone-death-18-year-old-vanished-coastal-waters,Grand jury report sheds new light on Nolan Wells' death off Mississippi coast,0.000646,0.000030,0.000190,0.000108,0.000176,0.000069,0.000029,0.000000,0.000000,100.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxbusiness.com/economy/florida-chamber-slaps-jb-pritzker-runner-up-economic-developer-of-the-year-award-chicago-billboards,Chicago commuters are hit with a bold new Florida billboard campaign,0.004340,0.000053,0.000669,0.000266,0.000531,0.000226,0.000097,100.000000,0.000000,0.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/health/presley-gerber-death-sparks-questions-overdose-withdrawal-rehab-safety,Presley Gerber’s death puts addiction treatment safety in the spotlight,0.002877,0.000055,0.000229,0.000131,0.000455,0.000311,0.000095,0.000000,0.000000,100.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/politics/jeffries-lashes-out-after-house-democrat-bolsters-republican-candidate-leaders-home-turf,Jeffries torches fellow Dem who endorsed Republican in leader's own backyard,0.006508,0.000019,0.000340,0.000150,0.003409,0.000070,0.000050,0.000000,0.000000,100.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/deals/best-air-purifiers-allergy-season,Fall allergies acting up? This $90 Levoit air purifier just dropped to $70 — plus 9 more picks,0.000405,0.000021,0.000111,0.000078,0.000206,0.000033,0.000019,0.000000,100.000000,0.000000
Fox News,en,2026-09-22T16:22:56.391612+00:00,https://www.foxnews.com/outkick/sean-mcvay-offers-self-deprecating-dropped-mic-response-los-angeles-rams-back-super-bowl-chase,McVay drops mic calling himself a 'dumbass coach' over disastrous Australia trip,0.922646,0.001089,0.423134,0.002842,0.745954,0.000693,0.001723,0.000000,0.000000,100.000000
