newspaper,language,date,url,text,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative
Fox News,en,2026-09-16T16:14:30.906546+00:00,https://www.foxnews.com/politics/worse-than-watergate-new-fbi-files-detail-agent-push-join-trump-probe-investigate-elon-musk,"New document dump exposes Deep State plot to sabotage Trump, senator warns",0.005316,0.000018,0.000162,0.000131,0.001581,0.000064,0.000027,0.000000,0.000000,100.000000
Fox News,en,2026-09-16T16:14:30.906546+00:00,https://www.foxnews.com/politics/dem-fundraising-giant-actblue-accused-fraudulent-donation-cover-up-explosive-report,Explosive report accuses election giant of letting foreign cash bankroll Dem campaigns,0.000894,0.000018,0.000131,0.000108,0.000348,0.000031,0.000018,0.000000,0.000000,100.000000
Fox News,en,2026-09-16T16:14:30.906546+00:00,https://www.foxnews.com/us/charlie-kirk-family-alleges-uvu-knew-rooftop-security-risk-before-assassination-legal-filing,Police chief’s text looms large as Kirk family puts university on notice,0.001274,0.000016,0.000133,0.000095,0.000459,0.000028,0.000023,0.000000,100.000000,0.000000
Fox News,en,2026-09-16T16:14:30.906546+00:00,"https://www.foxnews.com/live-news/iran-war-powers-vote-trump-strait-hormuz-saudi-strikes-09-16-26#&_intcmp=fnhpbt4_1,hp1bt",Questions swirl over who attacked US ally's vital oil pipeline,0.000720,0.000018,0.000120,0.000103,0.000225,0.000034,0.000019,0.000000,0.000000,100.000000
Fox News,en,2026-09-16T16:14:30.906546+00:00,https://www.foxnews.com/travel/airport-x-ray-shows-terrifying-object-taped-carry-on-skip-checked-baggage-fee,Airport X-ray shows terrifying object taped in carry-on to skip checked baggage fee,0.000929,0.000036,0.000314,0.000119,0.000232,0.000052,0.000044,0.000000,0.000000,100.000000
Fox News,en,2026-09-16T16:14:30.906546+00:00,https://www.foxnews.com/outkick-sports/texans-azeez-al-shaair-fined-nfl-wearing-pro-palestinian-personal-message-eyeblack,NFL defender penalized again after doubling down on banned eyeblack messages,0.016091,0.000140,0.000757,0.004754,0.002154,0.000247,0.000222,0.000000,0.000000,100.000000
Fox News,en,2026-09-16T16:14:30.906546+00:00,https://www.foxnews.com/us/attempted-trump-assassin-thomas-crooks-behavior-revealed-red-flags-before-attack-former-fbi-agent,Trump would-be assassin's bizarre nightly habits emerge in newly released FBI files,0.127676,0.000021,0.000323,0.000210,0.083290,0.000052,0.000044,0.000000,0.000000,100.000000
Fox News,en,2026-09-16T16:14:30.906546+00:00,https://www.foxnews.com/us/injured-louisiana-boy-hailed-superhero-seeking-help-deadly-stabbing-rampage,Stabbed 6-year-old hailed 'superhero' for escaping suspect to neighbor's door,0.085697,0.000088,0.001783,0.000434,0.054854,0.000582,0.000805,0.000000,0.000000,100.000000
Fox News,en,2026-09-16T16:14:30.906546+00:00,https://www.foxnews.com/opinion/trumps-ai-race-china-could-become-biggest-mistake-our-time,Trump's AI race with China could become the biggest mistake of our time,0.003169,0.000013,0.000107,0.000232,0.000652,0.000032,0.000017,0.000000,0.000000,100.000000
Fox News,en,2026-09-16T16:14:30.906546+00:00,https://www.foxnews.com/politics/jim-jordan-subpoenas-blue-state-das-accused-preferential-treatment-illegal-immigrant-criminals,State prosecutors face legal peril as Jim Jordan closes in on sanctuary cities,0.000578,0.000022,0.000139,0.000103,0.000205,0.000045,0.000027,0.000000,0.000000,100.000000
Fox News,en,2026-09-16T16:14:30.906546+00:00,https://www.foxnews.com/video/6405102497112,Far-left activists questioned on motives ahead of foreign influence hearing,0.000479,0.000023,0.000147,0.000097,0.000251,0.000029,0.000021,0.000000,0.000000,100.000000
Fox News,en,2026-09-16T16:14:30.906546+00:00,https://www.foxnews.com/opinion/world-debating-sanctions-against-israel-i-am-watching-young-warriors-rebuild-lives,No government on Earth can ban what this Israeli organization is building,0.023885,0.000037,0.000236,0.012994,0.001584,0.000421,0.000059,0.000000,0.000000,100.000000
Fox News,en,2026-09-16T16:14:30.906546+00:00,https://www.foxnews.com/outkick/god-good-ella-langley-reacts-incredible-nine-cma-awards-nominations,Country music star goes viral with powerful comments about her faith in God,0.000853,0.000034,0.000162,0.000272,0.000185,0.000060,0.000039,100.000000,0.000000,0.000000
Fox News,en,2026-09-16T16:14:30.906546+00:00,https://www.foxnews.com/video/6405147368112,Baker explains why his rye bread costs so much dough after causing a stir,0.001247,0.000022,0.000200,0.000102,0.000381,0.000053,0.000033,0.000000,0.000000,100.000000
Fox News,en,2026-09-16T16:14:30.906546+00:00,https://www.foxnews.com/health/common-antibiotic-linked-higher-risk-death-adults-major-study-finds,"Common antibiotic linked to higher risk of death in adults, major study finds",0.000470,0.000023,0.000095,0.000119,0.000141,0.000046,0.000027,0.000000,100.000000,0.000000
Fox News,en,2026-09-16T16:14:30.906546+00:00,https://www.foxnews.com/us/former-ohio-teacher-charged-missing-teen-found-his-home-263-days-later-reports,Missing Ohio teenage girl found at former teacher's home after 263 days,0.002368,0.000027,0.000276,0.000274,0.000795,0.000077,0.000155,0.000000,0.000000,100.000000
Fox News,en,2026-09-16T16:14:30.906546+00:00,https://www.foxnews.com/politics/trumps-beef-import-scheme-wreaks-havoc-fed-up-red-state-cattle-ranchers,Trump cooks up cheaper food before midterms — and rural Americans are sounding the alarm,0.004589,0.000013,0.000103,0.000268,0.001307,0.000044,0.000018,0.000000,100.000000,0.000000
Fox News,en,2026-09-16T16:14:30.906546+00:00,https://www.foxnews.com/us/nbc-reporter-pilot-among-victims-identified-deadly-los-angeles-helicopter-crash,"Beloved reporter, pilot identified as victims of deadly Los Angeles crash",0.000862,0.000018,0.000188,0.000067,0.000408,0.000023,0.000030,0.000000,0.000000,100.000000
