name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.01982,0.00011,0.00053,0.00882,0.00139,0.00187,0.00087,50,2022/11/24
BBC,0.02346,0.00011,0.00083,0.01292,0.00417,0.00067,0.00340,47,2022/11/24
Fox News,0.01304,0.00006,0.00052,0.00149,0.00588,0.00086,0.00043,154,2022/11/24
NBC News,0.02246,0.00013,0.00075,0.01290,0.00267,0.00299,0.00034,65,2022/11/24
New York Post,0.07011,0.00020,0.00095,0.01084,0.01005,0.00318,0.02396,39,2022/11/24
Newsmax,0.01834,0.00023,0.00126,0.00863,0.00217,0.00053,0.00249,51,2022/11/24
Newsweek,0.04049,0.00019,0.00161,0.00771,0.00570,0.00842,0.00334,104,2022/11/24
One America News Network (OAN),0.01281,0.00020,0.00125,0.00047,0.00128,0.00857,0.00012,36,2022/11/24
Reuters,0.03621,0.00008,0.00045,0.00868,0.00235,0.00525,0.00149,38,2022/11/24
The Epoch Times,0.01790,0.00028,0.00182,0.00370,0.00780,0.00040,0.00229,107,2022/11/24
The Guardian (US),0.03119,0.00022,0.00535,0.00293,0.00346,0.00309,0.00805,101,2022/11/24
The Hill,0.00880,0.00004,0.00020,0.00052,0.00056,0.00337,0.00006,44,2022/11/24
The New York Times,0.00960,0.00007,0.00061,0.00180,0.00165,0.00072,0.00011,54,2022/11/24
The Wall Street Journal,0.00379,0.00004,0.00034,0.00040,0.00090,0.00032,0.00005,68,2022/11/24
The Washington Post,0.02428,0.00008,0.00081,0.00089,0.01301,0.00075,0.00063,94,2022/11/24
The Washington Times,0.01725,0.00008,0.00044,0.00830,0.00279,0.00106,0.00026,39,2022/11/24
Washington Examiner,0.01497,0.00005,0.00049,0.00188,0.00358,0.00187,0.00048,67,2022/11/24
