name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.03353,0.00013,0.00138,0.00348,0.01331,0.00444,0.00145,45,2022/11/01
BBC,0.00827,0.00013,0.00116,0.00056,0.00181,0.00166,0.00021,45,2022/11/01
Fox News,0.02835,0.00017,0.00463,0.00578,0.01369,0.00079,0.00039,172,2022/11/01
NBC News,0.03758,0.00016,0.00086,0.00943,0.00328,0.00341,0.01136,69,2022/11/01
New York Post,0.03724,0.00018,0.02074,0.00039,0.01090,0.00018,0.00441,40,2022/11/01
Newsmax,0.01154,0.00008,0.00060,0.00434,0.00100,0.00116,0.00010,50,2022/11/01
Newsweek,0.03913,0.00010,0.00069,0.00705,0.01083,0.00975,0.00017,103,2022/11/01
One America News Network (OAN),0.00337,0.00015,0.00108,0.00034,0.00112,0.00034,0.00026,36,2022/11/01
Reuters,0.00094,0.00005,0.00034,0.00020,0.00037,0.00014,0.00005,36,2022/11/01
The Epoch Times,0.00269,0.00021,0.00158,0.00060,0.00229,0.00018,0.00010,98,2022/11/01
The Guardian (US),0.03697,0.00009,0.00168,0.00135,0.01721,0.00323,0.00366,98,2022/11/01
The Hill,0.01028,0.00004,0.00030,0.00018,0.00108,0.00481,0.00012,43,2022/11/01
The New York Times,0.02012,0.00008,0.00040,0.00079,0.00424,0.00918,0.00014,67,2022/11/01
The Wall Street Journal,0.00751,0.00010,0.00525,0.00024,0.00069,0.00009,0.00007,67,2022/11/01
The Washington Post,0.02592,0.00008,0.00046,0.00529,0.01242,0.00048,0.00078,103,2022/11/01
The Washington Times,0.01716,0.00004,0.00028,0.00768,0.00219,0.00132,0.00011,36,2022/11/01
Washington Examiner,0.01334,0.00005,0.00028,0.00102,0.00119,0.00311,0.00010,64,2022/11/01
