name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.02576,0.00011,0.00052,0.00820,0.00162,0.00848,0.00030,50,2022/11/26
BBC,0.03103,0.00012,0.00245,0.00180,0.00293,0.00072,0.01453,48,2022/11/26
Fox News,0.01964,0.00009,0.00100,0.00320,0.00620,0.00059,0.00079,153,2022/11/26
NBC News,0.03832,0.00018,0.00087,0.02687,0.00547,0.00291,0.00121,64,2022/11/26
New York Post,0.02838,0.00007,0.00112,0.00074,0.01310,0.00160,0.00117,43,2022/11/26
Newsmax,0.02212,0.00007,0.00064,0.00241,0.01254,0.00178,0.00011,51,2022/11/26
Newsweek,0.03409,0.00008,0.00130,0.00297,0.01118,0.00067,0.00246,99,2022/11/26
One America News Network (OAN),0.02186,0.00009,0.00056,0.00079,0.00198,0.00029,0.00982,36,2022/11/26
Reuters,0.02281,0.00006,0.00035,0.00206,0.00192,0.00192,0.00167,33,2022/11/26
The Epoch Times,0.01023,0.00024,0.00180,0.00159,0.00197,0.00137,0.00074,109,2022/11/26
The Guardian (US),0.02420,0.00016,0.00129,0.00170,0.00949,0.00101,0.00517,99,2022/11/26
The Hill,0.02209,0.00006,0.00031,0.00151,0.01128,0.00216,0.00051,40,2022/11/26
The New York Times,0.01955,0.00007,0.00052,0.00259,0.00459,0.00614,0.00012,62,2022/11/26
The Wall Street Journal,0.00858,0.00011,0.00057,0.00206,0.00221,0.00033,0.00126,67,2022/11/26
The Washington Post,0.02493,0.00015,0.00094,0.01007,0.00493,0.00443,0.00185,88,2022/11/26
The Washington Times,0.02145,0.00009,0.00045,0.00462,0.00126,0.00052,0.00746,35,2022/11/26
Washington Examiner,0.00812,0.00005,0.00045,0.00133,0.00160,0.00078,0.00051,67,2022/11/26
