name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.00705,0.00020,0.00116,0.00050,0.00155,0.00180,0.00020,50,2022/11/19
BBC,0.04215,0.00011,0.00092,0.01882,0.01752,0.00063,0.00025,48,2022/11/19
Fox News,0.01501,0.00009,0.00057,0.00178,0.00498,0.00136,0.00141,158,2022/11/19
NBC News,0.03195,0.00020,0.00088,0.01726,0.00309,0.00434,0.00284,65,2022/11/19
New York Post,0.00745,0.00005,0.00067,0.00024,0.00167,0.00027,0.00094,39,2022/11/19
Newsmax,0.02663,0.00012,0.00071,0.00099,0.01083,0.00761,0.00012,51,2022/11/19
Newsweek,0.02390,0.00022,0.00234,0.00127,0.00693,0.00219,0.01044,94,2022/11/19
One America News Network (OAN),0.00128,0.00009,0.00064,0.00026,0.00067,0.00018,0.00006,36,2022/11/19
Reuters,0.02588,0.00011,0.00044,0.01916,0.00725,0.00032,0.00029,29,2022/11/19
The Epoch Times,0.00261,0.00018,0.00133,0.00039,0.00159,0.00068,0.00015,101,2022/11/19
The Guardian (US),0.02803,0.00111,0.01061,0.00386,0.01451,0.00169,0.00462,98,2022/11/19
The Hill,0.02315,0.00006,0.00031,0.00057,0.00521,0.01041,0.00015,43,2022/11/19
The New York Times,0.02665,0.00010,0.00071,0.00125,0.01103,0.00370,0.00011,64,2022/11/19
The Wall Street Journal,0.00160,0.00010,0.00088,0.00024,0.00126,0.00012,0.00008,70,2022/11/19
The Washington Post,0.02218,0.00007,0.00064,0.00094,0.01040,0.00258,0.00501,96,2022/11/19
The Washington Times,0.02253,0.00005,0.00037,0.00090,0.00537,0.00088,0.00385,36,2022/11/19
Washington Examiner,0.01914,0.00004,0.00031,0.00073,0.00821,0.00228,0.00014,67,2022/11/19
