name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.02149,0.00009,0.00039,0.00603,0.00218,0.00609,0.00064,50,2023/04/12
BBC,0.03930,0.00012,0.00131,0.00555,0.01487,0.00235,0.00366,45,2023/04/12
Fox News,0.02910,0.00013,0.00079,0.00669,0.00692,0.00383,0.00152,134,2023/04/12
NBC News,0.04793,0.00020,0.00062,0.02635,0.00653,0.00300,0.00433,69,2023/04/12
New York Post,0.08497,0.00013,0.00145,0.00068,0.03134,0.00966,0.01386,42,2023/04/12
Newsmax,0.00767,0.00014,0.00114,0.00166,0.00259,0.00049,0.00028,49,2023/04/12
Newsweek,0.03694,0.00010,0.00174,0.00164,0.01346,0.00025,0.00008,30,2023/04/12
One America News Network (OAN),0.00178,0.00005,0.00065,0.00016,0.00047,0.00011,0.00014,28,2023/04/12
Reuters,0.00763,0.00007,0.00048,0.00121,0.00260,0.00039,0.00047,45,2023/04/12
The Epoch Times,0.01129,0.00021,0.00150,0.00286,0.00174,0.00131,0.00245,109,2023/04/12
The Guardian (US),0.04791,0.00025,0.00288,0.01807,0.00910,0.00230,0.01361,98,2023/04/12
The Hill,0.02882,0.00009,0.00052,0.02063,0.00358,0.00079,0.00024,36,2023/04/12
The New York Times,0.01698,0.00016,0.00137,0.00387,0.00208,0.00046,0.00528,62,2023/04/12
The Wall Street Journal,0.01423,0.00005,0.00037,0.00075,0.00952,0.00018,0.00103,65,2023/04/12
The Washington Post,0.03124,0.00005,0.00040,0.00535,0.01668,0.00228,0.00013,103,2023/04/12
The Washington Times,0.01359,0.00006,0.00038,0.00658,0.00179,0.00039,0.00010,41,2023/04/12
Washington Examiner,0.01240,0.00005,0.00046,0.00055,0.00189,0.00320,0.00011,63,2023/04/12
