name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.02369,0.00009,0.00057,0.01664,0.00835,0.00065,0.00017,50,2023/02/04
BBC,0.00493,0.00025,0.00195,0.00185,0.00220,0.00027,0.00016,47,2023/02/04
Fox News,0.02099,0.00011,0.00060,0.00364,0.00403,0.00312,0.00287,168,2023/02/04
NBC News,0.05099,0.00018,0.00085,0.02535,0.00757,0.00815,0.00343,64,2023/02/04
New York Post,0.05652,0.00009,0.00283,0.00131,0.03643,0.00223,0.00997,40,2023/02/04
Newsmax,0.00683,0.00009,0.00067,0.00073,0.00123,0.00030,0.00187,49,2023/02/04
Newsweek,0.02245,0.00008,0.00049,0.00298,0.00230,0.00362,0.00118,92,2023/02/04
One America News Network (OAN),0.03608,0.00013,0.00078,0.00314,0.00211,0.02640,0.00023,28,2023/02/04
Reuters,0.01097,0.00005,0.00027,0.00072,0.00112,0.00010,0.00733,36,2023/02/04
The Epoch Times,0.01044,0.00029,0.00207,0.00152,0.00232,0.00475,0.00033,107,2023/02/04
The Guardian (US),0.09041,0.00038,0.00501,0.01299,0.05097,0.00208,0.01294,91,2023/02/04
The Hill,0.00237,0.00004,0.00027,0.00047,0.00056,0.00034,0.00006,45,2023/02/04
The New York Times,0.01619,0.00008,0.00041,0.00086,0.00428,0.00565,0.00010,70,2023/02/04
The Wall Street Journal,0.00234,0.00004,0.00028,0.00063,0.00050,0.00018,0.00006,67,2023/02/04
The Washington Post,0.02118,0.00006,0.00075,0.00067,0.00539,0.00245,0.00439,96,2023/02/04
The Washington Times,0.02069,0.00009,0.00038,0.00799,0.00491,0.00121,0.00018,36,2023/02/04
Washington Examiner,0.05571,0.00014,0.00061,0.01460,0.01879,0.01255,0.00030,66,2023/02/04
